,Id,Period,Time,Type,Goal,Assist,Season
3,170888,2. část,01:33,-,73 Kryštof Hoch,9 Jakub Klement,2016/2017
4,170888,2. část,03:48,-,15 Vojtěch Brávek,97 Ondřej Zeman,2016/2017
5,170888,2. část,07:35,SH,73 Kryštof Hoch,9 Jakub Klement,2016/2017
6,170888,2. část,09:16,PP,73 Kryštof Hoch,17 Jakub Hruška,2016/2017
7,170888,2. část,10:33,PP,15 Vojtěch Brávek,11 Filip Terč,2016/2017
8,170888,3. část,07:00,-,77 Daniel Klugar,9 Jakub Klement,2016/2017
9,170888,3. část,07:45,-,97 Ondřej Zeman,11 Filip Terč,2016/2017
10,170888,3. část,08:09,-,77 Daniel Klugar,11 Filip Terč,2016/2017
11,170888,3. část,11:59,-,97 Ondřej Zeman,15 Vojtěch Brávek,2016/2017
0,170890,1. část,04:13,-,73 Kryštof Hoch,97 Ondřej Zeman,2016/2017
1,170890,1. část,08:00,-,17 Jakub Hruška,97 Ondřej Zeman,2016/2017
2,170890,2. část,02:10,-,17 Jakub Hruška,97 Ondřej Zeman,2016/2017
3,170890,3. část,11:37,PP,15 Vojtěch Brávek,11 Filip Terč,2016/2017
0,173095,1. část,03:24,-,97 Ondřej Zeman,17 Jakub Hruška,2016/2017
1,173095,3. část,11:45,-,97 Ondřej Zeman,17 Jakub Hruška,2016/2017
0,173117,2. část,00:48,PP,11 Filip Terč,77 Daniel Klugar,2016/2017
1,173117,2. část,01:10,-,77 Daniel Klugar,7 Martin Bukovič,2016/2017
2,173117,2. část,04:44,-,15 Jakub Rejf,7 Martin Bukovič,2016/2017
3,173117,2. část,05:59,-,9 Jakub Klement,17 Jakub Hruška,2016/2017
0,174037,2. část,07:58,-,73 Kryštof Hoch,9 Jakub Klement,2016/2017
1,174037,2. část,09:03,-,17 Jakub Hruška,18 Michal Šíma,2016/2017
2,174037,3. část,06:31,-,17 Jakub Hruška,18 Michal Šíma,2016/2017
3,174037,3. část,11:49,-,18 Michal Šíma,9 Jakub Klement,2016/2017
0,177651,1. část,05:15,PP,17 Jakub Hruška,73 Kryštof Hoch,2016/2017
1,177651,2. část,02:33,-,18 Michal Šíma,17 Jakub Hruška,2016/2017
2,177651,2. část,09:48,-,9 Jakub Klement,73 Kryštof Hoch,2016/2017
3,177651,3. část,03:01,-,73 Kryštof Hoch,18 Michal Šíma,2016/2017
4,177651,3. část,10:03,-,18 Michal Šíma,9 Jakub Klement,2016/2017
5,177651,3. část,11:44,-,17 Jakub Hruška,9 Jakub Klement,2016/2017
0,181133,1. část,05:31,-,77 Daniel Klugar,97 Ondřej Zeman,2016/2017
1,181133,1. část,09:32,-,17 Jakub Hruška,97 Ondřej Zeman,2016/2017
2,181133,2. část,04:02,-,97 Ondřej Zeman,17 Jakub Hruška,2016/2017
3,181133,3. část,11:28,-,97 Ondřej Zeman,15 Vojtěch Brávek,2016/2017
0,181139,1. část,03:11,-,77 Daniel Klugar,9 Jakub Klement,2016/2017
1,181139,2. část,05:12,-,97 Ondřej Zeman,17 Jakub Hruška,2016/2017
2,181139,2. část,06:16,-,15 Vojtěch Brávek,18 Michal Šíma,2016/2017
3,181139,2. část,09:48,PP,97 Ondřej Zeman,73 Kryštof Hoch,2016/2017
4,181139,3. část,03:28,PP,4 Stanislav Kodet,,2016/2017
0,184416,1. část,11:38,-,9 Jakub Klement,17 Jakub Hruška,2016/2017
0,184419,1. část,07:49,-,97 Ondřej Zeman,17 Jakub Hruška,2016/2017
1,184419,2. část,03:19,PP,73 Kryštof Hoch,97 Ondřej Zeman,2016/2017
2,184419,3. část,02:38,-,18 Michal Šíma,,2016/2017
3,184419,3. část,06:45,-,17 Jakub Hruška,97 Ondřej Zeman,2016/2017
0,186566,1. část,00:56,-,77 Daniel Klugar,15 Vojtěch Brávek,2016/2017
1,186566,1. část,05:57,-,15 Vojtěch Brávek,18 Michal Šíma,2016/2017
2,186566,1. část,09:07,PP,97 Ondřej Zeman,9 Jakub Klement,2016/2017
3,186566,2. část,03:26,-,97 Ondřej Zeman,9 Jakub Klement,2016/2017
4,186566,2. část,05:56,-,18 Michal Šíma,77 Daniel Klugar,2016/2017
5,186566,3. část,07:00,PS,9 Jakub Klement,,2016/2017
6,186566,3. část,09:03,-,97 Ondřej Zeman,17 Jakub Hruška,2016/2017
0,186570,2. část,00:53,-,97 Ondřej Zeman,9 Jakub Klement,2016/2017
1,186570,3. část,06:32,PP,15 Vojtěch Brávek,97 Ondřej Zeman,2016/2017
0,188121,1. část,07:28,-,4 Stanislav Kodet,9 Jakub Klement,2017/2018
1,188121,1. část,07:48,-,97 Ondřej Zeman,,2017/2018
2,188121,1. část,11:05,-,16 Mikuláš Vyleta,77 Daniel Klugar,2017/2018
3,188121,2. část,05:08,-,77 Daniel Klugar,73 Kryštof Hoch,2017/2018
4,188121,3. část,07:39,-,9 Jakub Klement,97 Ondřej Zeman,2017/2018
0,188126,2. část,05:33,PP,77 Daniel Klugar,9 Jakub Klement,2017/2018
0,188617,1. část,00:49,-,18 Michal Šíma,17 Jakub Hruška,2017/2018
