,Id,Period,Time,Player,TM,Foul,Season
0,244649,3. část,09:31,73 Kryštof Hoch,2,901 sekání,2018/2019
0,244647,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,247469,1. část,08:19,4 Stanislav Kodet,2,904 vysoká hokejka,2018/2019
1,247469,3. část,00:19,72 Jaroslav Soldán,2,901 sekání,2018/2019
0,247467,3. část,06:47,69 Václav Boček,2,904 vysoká hokejka,2018/2019
0,233120,3. část,05:11,16 Mikuláš Vyleta,2,925 nesportovní chování,2018/2019
1,233120,3. část,05:11,18 Michal Šíma,2,902 blokování hokejky,2018/2019
0,250974,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,252765,3. část,00:59,4 Stanislav Kodet,2,911 bránění ve hře,2018/2019
1,252765,3. část,05:09,11 Filip Terč,2,915 nedovolená vzdálenost,2018/2019
2,252765,3. část,06:38,4 Stanislav Kodet,2,915 nedovolená vzdálenost,2018/2019
3,252765,3. část,11:53,16 Mikuláš Vyleta,2,902 blokování hokejky,2018/2019
0,252762,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,258459,3. část,10:22,17 Jakub Hruška,2,909 hrubost,2019/2020
0,258090,3. část,09:51,69 Václav Boček,2,901 sekání,2019/2020
0,261060,3. část,08:02,11 Filip Terč,2,911 bránění ve hře,2019/2020
0,261055,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2019/2020
0,263313,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2019/2020
0,263310,3. část,06:00,9 Jakub Klement,2,911 bránění ve hře,2019/2020
1,263310,3. část,10:21,72 Jaroslav Soldán,2,907 nedovolené vrážení,2019/2020
0,267256,3. část,00:46,12 Václav Boček,2,909 hrubost,2019/2020
0,267257,1. část,09:15,16 Mikuláš Vyleta,2,901 sekání,2019/2020
1,267257,3. část,06:24,17 Jakub Hruška,2,901 sekání,2019/2020
0,271089,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2019/2020
0,271087,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2019/2020
0,273338,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2019/2020
0,273335,1. část,08:36,72 Jaroslav Soldán,2,901 sekání,2019/2020
0,277341,1. část,07:35,12 Václav Boček,2,919 hra na zemi,2019/2020
1,277341,3. část,03:41,72 Jaroslav Soldán,2,901 sekání,2019/2020
2,277341,3. část,08:44,9 Jakub Klement,2,901 sekání,2019/2020
0,277256,1. část,10:48,9 Jakub Klement,2,901 sekání,2019/2020
0,284092,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2020/2021
0,284095,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2020/2021
0,288076,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2020/2021
0,288074,1. část,06:58,72 Jaroslav Soldán,2,925 nesportovní chování,2020/2021
0,294736,2. část,07:57,72 Jaroslav Soldán,2,901 sekání,2021/2022
