,Id,Period,Time,Player,TM,Foul,Season
0,174037,1. část,06:11,46 Lukáš Frydrych,2,901 sekání,2016/2017
0,177651,1. část,04:26,68 Pavel Kohout,2,904 vysoká hokejka,2016/2017
0,181133,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,181139,2. část,08:54,12 Vojtěch Svoboda,2,901 sekání,2016/2017
1,181139,3. část,02:20,21 Vojtěch Dlouhý,2,901 sekání,2016/2017
0,184416,2. část,04:10,44 Richard Filikar,2,902 blokování hokejky,2016/2017
1,184416,3. část,02:01,92 Šimon Baumruk,2,920 hra rukou,2016/2017
0,184419,2. část,03:12,12 Jan Paulovič,2,901 sekání,2016/2017
0,186566,1. část,07:46,11 Jiří Svoboda,2,907 nedovolené vrážení,2016/2017
1,186566,1. část,09:50,97 Jakub Smíšek,2,919 hra na zemi,2016/2017
2,186566,1. část,11:22,6 Jan Mičko,2,909 hrubost,2016/2017
3,186566,3. část,09:01,77 Ondřej Vaněček,2,901 sekání,2016/2017
0,186570,1. část,06:03,25 Jakub Pražák,2,907 nedovolené vrážení,2016/2017
1,186570,2. část,07:38,98 Jan Horyna,2,901 sekání,2016/2017
2,186570,3. část,05:25,15 Vojtěch Hecl,2,911 bránění ve hře,2016/2017
0,188121,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,188126,1. část,08:15,9 Vladimír Drnec,2,914 hra v malém brankovišti,2017/2018
1,188126,2. část,03:47,16 Pavel Procházka,2,904 vysoká hokejka,2017/2018
2,188126,2. část,11:53,3 Filip Prusík,2,901 sekání,2017/2018
0,188617,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,188620,1. část,08:03,78 Šimon Hejda,2,901 sekání,2017/2018
0,190306,2. část,07:59,29 František Vršecký,2,901 sekání,2017/2018
1,190306,3. část,02:24,5 Tomáš Zíval,2,901 sekání,2017/2018
0,197391,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,197395,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,190313,3. část,06:54,14 Tomáš Čajan,2,901 sekání,2017/2018
0,199709,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,202065,1. část,05:18,13 David Šiška,2,915 nedovolená vzdálenost,2017/2018
0,202049,1. část,00:23,6 Břetislav Klápště,2,910 držení,2017/2018
1,202049,1. část,04:47,16 Jan Gonda,2,901 sekání,2017/2018
0,206061,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,206070,3. část,01:32,84 Aleš Vondřejc,2,902 blokování hokejky,2017/2018
0,211408,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,211427,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,214987,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,214982,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,217306,3. část,08:41,3 Tomáš Skácel,2,901 sekání,2017/2018
0,222086,2. část,05:55,7 Pavel Pohl,2,902 blokování hokejky,2018/2019
