,Id,Period,Time,Type,Goal,Assist,Season
1,170888,2. část,11:48,-,17 Stanislav Lepič,25 Lukáš Pichner,2016/2017
0,170890,1. část,03:27,-,77 Ctibor Chmelař,11 Martin Elišák,2016/2017
1,170890,1. část,10:46,PP,86 Zdeněk Karásek,8 Filip Weber,2016/2017
2,170890,2. část,08:31,-,88 Michal Rosí,86 Zdeněk Karásek,2016/2017
3,170890,3. část,06:09,-,86 Zdeněk Karásek,17 Radek Mošnička,2016/2017
4,170890,3. část,11:55,PP,10 Miloš Zapadlo,86 Zdeněk Karásek,2016/2017
0,173095,1. část,03:49,-,33 Antonín Krudenc,26 Tomáš Pažout,2016/2017
1,173095,1. část,03:53,-,2 David Ranš,11 Michael Tichý,2016/2017
2,173095,1. část,11:59,-,2 David Ranš,4 Michal Janouš,2016/2017
3,173095,2. část,00:06,-,33 Antonín Krudenc,5 Vítězslav Prágr,2016/2017
4,173095,2. část,01:08,-,26 Tomáš Pažout,75 Martin Vodička,2016/2017
5,173095,2. část,02:55,-,33 Antonín Krudenc,26 Tomáš Pažout,2016/2017
6,173095,2. část,07:35,-,22 Jan Flaška,,2016/2017
7,173095,2. část,09:27,-,2 David Ranš,22 Jan Flaška,2016/2017
8,173095,3. část,03:50,-,22 Jan Flaška,,2016/2017
9,173095,3. část,04:42,-,2 David Ranš,22 Jan Flaška,2016/2017
10,173095,3. část,08:45,-,9 Josef Hájek,75 Martin Vodička,2016/2017
0,173117,2. část,06:08,-,42 Jan Šťastný,63 Dominik Korolus,2016/2017
1,173117,2. část,06:14,-,23 Jakub Havlík,63 Dominik Korolus,2016/2017
2,173117,3. část,03:38,-,9 Tomáš Valenta,84 Martin Bajer,2016/2017
0,174037,1. část,05:47,-,99 Oldřich Pilecký,22 Ondřej Novák,2016/2017
1,174037,1. část,07:52,SH,99 Oldřich Pilecký,28 Jakub Malý,2016/2017
2,174037,2. část,06:35,-,35 Petr Ježek,43 Jakub Vrzák,2016/2017
3,174037,2. část,08:20,-,99 Oldřich Pilecký,31 Petr Matolín,2016/2017
4,174037,2. část,08:52,PP,48 Ondřej Kadaník,33 Daniel Stránský,2016/2017
5,174037,2. část,09:25,-,28 Jakub Malý,99 Oldřich Pilecký,2016/2017
6,174037,2. část,11:26,-,99 Oldřich Pilecký,33 Daniel Stránský,2016/2017
7,174037,3. část,03:50,-,46 Lukáš Frydrych,43 Jakub Vrzák,2016/2017
8,174037,3. část,04:13,-,43 Jakub Vrzák,46 Lukáš Frydrych,2016/2017
9,174037,3. část,04:48,-,28 Jakub Malý,33 Daniel Stránský,2016/2017
10,174037,3. část,09:51,-,36 Miroslav Šíp,28 Jakub Malý,2016/2017
11,174037,3. část,09:57,-,46 Lukáš Frydrych,43 Jakub Vrzák,2016/2017
0,177651,1. část,04:46,-,11 David Haring,91 Michal Kuruc,2016/2017
1,177651,1. část,07:36,-,68 Pavel Kohout,54 Lukáš Bozděch,2016/2017
2,177651,1. část,09:42,-,54 Lukáš Bozděch,11 David Haring,2016/2017
3,177651,1. část,10:02,-,93 František Podaný,2 Petr Kohout,2016/2017
4,177651,1. část,11:06,-,11 David Haring,91 Michal Kuruc,2016/2017
5,177651,2. část,10:39,-,68 Pavel Kohout,2 Petr Kohout,2016/2017
6,177651,3. část,01:16,PP,12 Jan Paulovič,91 Michal Kuruc,2016/2017
7,177651,3. část,04:44,-,91 Michal Kuruc,12 Jan Paulovič,2016/2017
8,177651,3. část,05:30,-,68 Pavel Kohout,2 Petr Kohout,2016/2017
9,177651,3. část,09:07,-,32 Petr Kaša,93 František Podaný,2016/2017
10,177651,3. část,09:50,-,91 Michal Kuruc,12 Jan Paulovič,2016/2017
11,177651,3. část,10:14,-,2 Petr Kohout,32 Petr Kaša,2016/2017
