,Id,Player,G,A,PTS,Season,Team_against,Team_for
7,142369,87 Viktor Matuna (U),0,0,0,2015/2016,FBC Penguins Praha,Athletics Praha D
8,142369,89 Milan Vřešťál (U),0,1,1,2015/2016,FBC Penguins Praha,Athletics Praha D
9,142369,98 Matěj Soukup (O),1,0,1,2015/2016,FBC Penguins Praha,Athletics Praha D
0,142372,11 Josef Kučera (U),1,1,2,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
1,142372,15 Jan Kaňka (U),0,2,2,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
2,142372,16 Tomáš Hájek (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
3,142372,68 Marek Frey (U),1,0,1,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
4,142372,88 Marek Kuneš (U),1,0,1,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
5,142372,99 Vladimír Pagáč (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
0,144132,4 David Östereicher (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
1,144132,13 Václav Östereicher (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
2,144132,15 Jiří Hrabár (U),1,1,2,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
3,144132,16 Radim Onderka (U),4,0,4,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
4,144132,18 Martin Váňa (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
5,144132,21 Marek Toráč (U),0,2,2,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
6,144132,23 Lukáš Žiga (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
7,144132,44 Martin Östereicher (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
8,144132,77 Ondřej Vaněček (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
9,144132,97 Jakub Smíšek (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
0,144134,2 Vítek Moučka (U),2,1,3,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
1,144134,4 Dominik Hlaváček (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
2,144134,7 Lukáš Rusanov (U),1,2,3,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
3,144134,23 Alexandr Mostýn (U),2,1,3,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
4,144134,38 Ondřej Hodan (U),2,0,2,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
5,144134,81 Karel Němec (U),0,2,2,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
6,144134,86 Václav Měchura (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
0,145416,2 Ivo Bárta (O),1,0,1,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
1,145416,3 Petr Jeništa (O),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
2,145416,6 Petr Burda (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
3,145416,8 Ondřej Šafář (U),1,1,2,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
4,145416,9 Jan Štička (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
5,145416,10 Miroslav Zbořilák (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
6,145416,13 Tomáš Badin (U),1,0,1,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
7,145416,18 Jan Štorek (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
8,145416,25 Jan Bárta (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
9,145416,27 Michal Vondra (O),0,1,1,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
10,145416,33 Martin Hrubý (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
11,145416,71 David Vašina (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
0,145419,2 Michal Lebeda (O),0,0,0,2015/2016,FBC Penguins Praha,Florbal Riders
1,145419,4 Pavel Cichra (U),1,1,2,2015/2016,FBC Penguins Praha,Florbal Riders
2,145419,7 Pavel Špirit (U),1,1,2,2015/2016,FBC Penguins Praha,Florbal Riders
3,145419,9 Jan Vítkovský (U),0,1,1,2015/2016,FBC Penguins Praha,Florbal Riders
4,145419,11 Jakub Chvojka (U),0,0,0,2015/2016,FBC Penguins Praha,Florbal Riders
5,145419,13 Marek Häusler (U),1,1,2,2015/2016,FBC Penguins Praha,Florbal Riders
6,145419,15 Lukáš Mašek (U),0,0,0,2015/2016,FBC Penguins Praha,Florbal Riders
7,145419,69 Juraj Michajlov (U),0,1,1,2015/2016,FBC Penguins Praha,Florbal Riders
8,145419,76 Jiří Machala (U),1,0,1,2015/2016,FBC Penguins Praha,Florbal Riders
9,145419,77 Petr Brtek (U),0,2,2,2015/2016,FBC Penguins Praha,Florbal Riders
10,145419,79 Tomáš Karbusický (U),2,0,2,2015/2016,FBC Penguins Praha,Florbal Riders
11,145419,92 Jiří Krotký (U),0,0,0,2015/2016,FBC Penguins Praha,Florbal Riders
12,145419,99 Tomáš Hruška (U),2,0,2,2015/2016,FBC Penguins Praha,Florbal Riders
0,148808,2 Petr Rosička (U),1,0,1,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
1,148808,6 Tomáš Tlustý (U),0,0,0,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
2,148808,13 Jan Lintymer (U),1,0,1,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
3,148808,41 Zdeněk Hromota (U),1,0,1,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
4,148808,55 Matěj Hrdlička (U),0,0,0,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
5,148808,78 Lukáš Mendlík (U),1,3,4,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
0,148818,9 Martin Matějček (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
1,148818,11 Lukáš Veselý (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
2,148818,13 Michal Douda (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
3,148818,14 Lukáš Boublík (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
4,148818,20 Robert Taussig (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
5,148818,23 Jakub Rohlík (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
6,148818,24 Petr Sváda (U),2,0,2,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
7,148818,27 Jan Trnka (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
8,148818,42 Martin Šudoma (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
9,148818,68 Tadeáš Bohatec (U),0,2,2,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
10,148818,91 David Žák (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
0,151296,2 František Doležal (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
1,151296,5 Evžen Teringl (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
2,151296,6 Petr Veselý (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
3,151296,7 Vojtěch Paul (U),0,1,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
4,151296,8 Marek Šíp (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
5,151296,10 Jaroslav Šimek (U),0,1,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
6,151296,11 Tomáš Krejcárek (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
7,151296,12 Filip Prusík (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
8,151296,13 Dominik Bouček (U),2,1,3,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
9,151296,14 Michal Kolář (U),0,1,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
10,151296,15 Pavel Procházka (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
11,151296,17 Vojtěch Tesárek (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
12,151296,18 Jakub Dragoun (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
0,151313,6 Jiří Nekvasil (U),0,1,1,2015/2016,FBC Penguins Praha,Athletics Praha D
1,151313,7 Zbyněk Prokšan (U),2,2,4,2015/2016,FBC Penguins Praha,Athletics Praha D
2,151313,9 Petr Paulus (U),2,0,2,2015/2016,FBC Penguins Praha,Athletics Praha D
3,151313,22 Milan Hort (U),0,0,0,2015/2016,FBC Penguins Praha,Athletics Praha D
4,151313,44 Michal Nechanický (U),0,0,0,2015/2016,FBC Penguins Praha,Athletics Praha D
5,151313,67 Martin Bolech (O),1,1,2,2015/2016,FBC Penguins Praha,Athletics Praha D
6,151313,89 Milan Vřešťál (U),1,0,1,2015/2016,FBC Penguins Praha,Athletics Praha D
7,151313,98 Matěj Soukup (O),1,1,2,2015/2016,FBC Penguins Praha,Athletics Praha D
0,153302,3 Michal Navrátil (U),0,1,1,2015/2016,FBC Penguins Praha,FBC Atomovky
1,153302,5 Ondřej Sládek (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Atomovky
2,153302,7 Martin Libecajt (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Atomovky
3,153302,9 Tomáš Ostravský (U),0,1,1,2015/2016,FBC Penguins Praha,FBC Atomovky
4,153302,15 David Schneider (U),2,1,3,2015/2016,FBC Penguins Praha,FBC Atomovky
5,153302,17 Jakub Neradil (U),1,2,3,2015/2016,FBC Penguins Praha,FBC Atomovky
6,153302,22 Jan Vršek (U),1,1,2,2015/2016,FBC Penguins Praha,FBC Atomovky
7,153302,23 Jiří Neradil (O),0,2,2,2015/2016,FBC Penguins Praha,FBC Atomovky
8,153302,39 Michal Hájek (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Atomovky
9,153302,80 Stanislav Hejl (U),2,1,3,2015/2016,FBC Penguins Praha,FBC Atomovky
10,153302,81 Jakub Šíma (U),4,0,4,2015/2016,FBC Penguins Praha,FBC Atomovky
0,153426,2 Petr Kohout (U),0,1,1,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
1,153426,3 Jan Prušák (U),0,0,0,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
