,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
3,170888,2,01:33,-, Kryštof Hoch, Jakub Klement,2016/2017,1,33,93
4,170888,2,03:48,-, Vojtěch Brávek, Ondřej Zeman,2016/2017,3,48,228
5,170888,2,07:35,SH, Kryštof Hoch, Jakub Klement,2016/2017,7,35,455
6,170888,2,09:16,PP, Kryštof Hoch, Jakub Hruška,2016/2017,9,16,556
7,170888,2,10:33,PP, Vojtěch Brávek, Filip Terč,2016/2017,10,33,633
8,170888,3,07:00,-, Daniel Klugar, Jakub Klement,2016/2017,7,0,420
9,170888,3,07:45,-, Ondřej Zeman, Filip Terč,2016/2017,7,45,465
10,170888,3,08:09,-, Daniel Klugar, Filip Terč,2016/2017,8,9,489
11,170888,3,11:59,-, Ondřej Zeman, Vojtěch Brávek,2016/2017,11,59,719
0,170890,1,04:13,-, Kryštof Hoch, Ondřej Zeman,2016/2017,4,13,253
1,170890,1,08:00,-, Jakub Hruška, Ondřej Zeman,2016/2017,8,0,480
2,170890,2,02:10,-, Jakub Hruška, Ondřej Zeman,2016/2017,2,10,130
3,170890,3,11:37,PP, Vojtěch Brávek, Filip Terč,2016/2017,11,37,697
0,173095,1,03:24,-, Ondřej Zeman, Jakub Hruška,2016/2017,3,24,204
1,173095,3,11:45,-, Ondřej Zeman, Jakub Hruška,2016/2017,11,45,705
0,173117,2,00:48,PP, Filip Terč, Daniel Klugar,2016/2017,0,48,48
1,173117,2,01:10,-, Daniel Klugar, Martin Bukovič,2016/2017,1,10,70
2,173117,2,04:44,-, Jakub Rejf, Martin Bukovič,2016/2017,4,44,284
3,173117,2,05:59,-, Jakub Klement, Jakub Hruška,2016/2017,5,59,359
0,174037,2,07:58,-, Kryštof Hoch, Jakub Klement,2016/2017,7,58,478
1,174037,2,09:03,-, Jakub Hruška, Michal Šíma,2016/2017,9,3,543
2,174037,3,06:31,-, Jakub Hruška, Michal Šíma,2016/2017,6,31,391
3,174037,3,11:49,-, Michal Šíma, Jakub Klement,2016/2017,11,49,709
0,177651,1,05:15,PP, Jakub Hruška, Kryštof Hoch,2016/2017,5,15,315
1,177651,2,02:33,-, Michal Šíma, Jakub Hruška,2016/2017,2,33,153
2,177651,2,09:48,-, Jakub Klement, Kryštof Hoch,2016/2017,9,48,588
3,177651,3,03:01,-, Kryštof Hoch, Michal Šíma,2016/2017,3,1,181
4,177651,3,10:03,-, Michal Šíma, Jakub Klement,2016/2017,10,3,603
5,177651,3,11:44,-, Jakub Hruška, Jakub Klement,2016/2017,11,44,704
0,181133,1,05:31,-, Daniel Klugar, Ondřej Zeman,2016/2017,5,31,331
1,181133,1,09:32,-, Jakub Hruška, Ondřej Zeman,2016/2017,9,32,572
2,181133,2,04:02,-, Ondřej Zeman, Jakub Hruška,2016/2017,4,2,242
3,181133,3,11:28,-, Ondřej Zeman, Vojtěch Brávek,2016/2017,11,28,688
0,181139,1,03:11,-, Daniel Klugar, Jakub Klement,2016/2017,3,11,191
1,181139,2,05:12,-, Ondřej Zeman, Jakub Hruška,2016/2017,5,12,312
2,181139,2,06:16,-, Vojtěch Brávek, Michal Šíma,2016/2017,6,16,376
3,181139,2,09:48,PP, Ondřej Zeman, Kryštof Hoch,2016/2017,9,48,588
4,181139,3,03:28,PP, Stanislav Kodet,,2016/2017,3,28,208
0,184416,1,11:38,-, Jakub Klement, Jakub Hruška,2016/2017,11,38,698
0,184419,1,07:49,-, Ondřej Zeman, Jakub Hruška,2016/2017,7,49,469
1,184419,2,03:19,PP, Kryštof Hoch, Ondřej Zeman,2016/2017,3,19,199
2,184419,3,02:38,-, Michal Šíma,,2016/2017,2,38,158
3,184419,3,06:45,-, Jakub Hruška, Ondřej Zeman,2016/2017,6,45,405
0,186566,1,00:56,-, Daniel Klugar, Vojtěch Brávek,2016/2017,0,56,56
1,186566,1,05:57,-, Vojtěch Brávek, Michal Šíma,2016/2017,5,57,357
2,186566,1,09:07,PP, Ondřej Zeman, Jakub Klement,2016/2017,9,7,547
3,186566,2,03:26,-, Ondřej Zeman, Jakub Klement,2016/2017,3,26,206
4,186566,2,05:56,-, Michal Šíma, Daniel Klugar,2016/2017,5,56,356
5,186566,3,07:00,PS, Jakub Klement,,2016/2017,7,0,420
6,186566,3,09:03,-, Ondřej Zeman, Jakub Hruška,2016/2017,9,3,543
0,186570,2,00:53,-, Ondřej Zeman, Jakub Klement,2016/2017,0,53,53
1,186570,3,06:32,PP, Vojtěch Brávek, Ondřej Zeman,2016/2017,6,32,392
0,188121,1,07:28,-, Stanislav Kodet, Jakub Klement,2017/2018,7,28,448
1,188121,1,07:48,-, Ondřej Zeman,,2017/2018,7,48,468
2,188121,1,11:05,-, Mikuláš Vyleta, Daniel Klugar,2017/2018,11,5,665
3,188121,2,05:08,-, Daniel Klugar, Kryštof Hoch,2017/2018,5,8,308
4,188121,3,07:39,-, Jakub Klement, Ondřej Zeman,2017/2018,7,39,459
0,188126,2,05:33,PP, Daniel Klugar, Jakub Klement,2017/2018,5,33,333
0,188617,1,00:49,-, Michal Šíma, Jakub Hruška,2017/2018,0,49,49
1,188617,1,10:48,-, Ondřej Zeman, Kryštof Hoch,2017/2018,10,48,648
2,188617,3,08:09,PS, Daniel Klugar,,2017/2018,8,9,489
0,188620,1,07:17,-, Kryštof Hoch, Jakub Hruška,2017/2018,7,17,437
1,188620,1,09:06,PP, Ondřej Zeman, Jakub Klement,2017/2018,9,6,546
2,188620,2,05:32,-, Mikuláš Vyleta, Kryštof Hoch,2017/2018,5,32,332
3,188620,2,07:55,-, Mikuláš Vyleta, Jakub Rejf,2017/2018,7,55,475
4,188620,2,08:39,-, Daniel Klugar, Jakub Klement,2017/2018,8,39,519
0,190306,1,05:30,-, Daniel Klugar, Filip Terč,2017/2018,5,30,330
1,190306,1,09:40,-, Jakub Hruška, Ondřej Zeman,2017/2018,9,40,580
2,190306,1,11:25,-, Ondřej Zeman, Jakub Hruška,2017/2018,11,25,685
3,190306,3,09:01,-, Jakub Hruška,,2017/2018,9,1,541
0,197395,1,10:09,-, Kryštof Hoch, Daniel Klugar,2017/2018,10,9,609
1,197395,2,07:21,-, Jakub Hruška, Ondřej Zeman,2017/2018,7,21,441
0,190313,1,01:07,-, Michal Šíma, Kryštof Hoch,2017/2018,1,7,67
1,190313,2,01:09,-, Mikuláš Vyleta, Michal Šíma,2017/2018,1,9,69
2,190313,2,05:46,PS, Jakub Klement,,2017/2018,5,46,346
3,190313,2,07:54,-, Ondřej Zeman,,2017/2018,7,54,474
4,190313,2,11:12,PS, Jakub Klement,,2017/2018,11,12,672
5,190313,3,05:48,-, Mikuláš Vyleta, Michal Šíma,2017/2018,5,48,348
6,190313,3,08:43,PP, Jakub Klement,,2017/2018,8,43,523
0,199709,1,09:00,-, Ondřej Zeman, Kryštof Hoch,2017/2018,9,0,540
1,199709,1,10:22,-, Kryštof Hoch, Vojtěch Brávek,2017/2018,10,22,622
2,199709,2,02:07,-, Daniel Klugar, Ondřej Zeman,2017/2018,2,7,127
3,199709,2,05:58,-, Ondřej Zeman, Kryštof Hoch,2017/2018,5,58,358
4,199709,3,06:43,-, Kryštof Hoch,,2017/2018,6,43,403
0,202065,1,00:33,-, Stanislav Kodet, Vojtěch Brávek,2017/2018,0,33,33
1,202065,1,00:58,-, Ondřej Zeman, Jakub Klement,2017/2018,0,58,58
2,202065,1,05:30,PP, Kryštof Hoch, Jakub Klement,2017/2018,5,30,330
3,202065,2,09:19,-, Vojtěch Brávek,,2017/2018,9,19,559
4,202065,2,11:13,-, Vojtěch Brávek, Jaroslav Soldán,2017/2018,11,13,673
5,202065,3,05:22,-, Vojtěch Brávek,,2017/2018,5,22,322
0,202049,1,02:31,-, Vojtěch Brávek, Daniel Klugar,2017/2018,2,31,151
1,202049,1,05:05,PP, Jakub Hruška, Filip Terč,2017/2018,5,5,305
2,202049,2,01:37,-, Michal Šíma, Kryštof Hoch,2017/2018,1,37,97
3,202049,2,08:59,-, Ondřej Zeman, Jakub Klement,2017/2018,8,59,539
4,202049,2,09:27,-, Jakub Klement, Jakub Hruška,2017/2018,9,27,567
5,202049,3,05:45,-, Jakub Hruška, Filip Terč,2017/2018,5,45,345
0,206061,1,00:38,-, Jakub Klement, Ondřej Zeman,2017/2018,0,38,38
1,206061,1,04:19,-, Michal Šíma, Jakub Hruška,2017/2018,4,19,259
2,206061,2,03:08,-, Ondřej Zeman, Jakub Hruška,2017/2018,3,8,188
3,206061,2,05:57,-, Ondřej Zeman, Jakub Hruška,2017/2018,5,57,357
4,206061,2,06:42,-, Michal Šíma, Ondřej Zeman,2017/2018,6,42,402
5,206061,2,09:33,-, Daniel Klugar, Vojtěch Brávek,2017/2018,9,33,573
0,206070,1,01:47,-, Jakub Hruška, Vojtěch Brávek,2017/2018,1,47,107
1,206070,1,08:49,-, Vojtěch Brávek, Ondřej Zeman,2017/2018,8,49,529
2,206070,2,00:33,-, Ondřej Zeman, Daniel Klugar,2017/2018,0,33,33
3,206070,2,11:28,-, Vojtěch Brávek, Ondřej Zeman,2017/2018,11,28,688
4,206070,3,04:05,-, Vojtěch Brávek,,2017/2018,4,5,245
5,206070,3,05:33,-, Michal Šíma, Jakub Klement,2017/2018,5,33,333
0,211408,1,09:29,-, Jakub Klement, Mikuláš Vyleta,2017/2018,9,29,569
