,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
5,151313,3,07:16,-, Petr Paulus,,2015/2016,7,16,436
6,151313,3,09:59,-, Zbyněk Prokšan, Martin Bolech,2015/2016,9,59,599
0,153302,1,05:29,-, Jakub Šíma, Jiří Neradil,2015/2016,5,29,329
1,153302,1,06:18,-, Stanislav Hejl, Michal Navrátil,2015/2016,6,18,378
2,153302,1,06:53,-, David Schneider, Jakub Neradil,2015/2016,6,53,413
3,153302,1,09:59,PS, Jakub Šíma,,2015/2016,9,59,599
4,153302,2,02:50,-, Stanislav Hejl, Jan Vršek,2015/2016,2,50,170
5,153302,2,02:59,-, David Schneider, Jakub Neradil,2015/2016,2,59,179
6,153302,2,08:14,-, Jakub Šíma, Stanislav Hejl,2015/2016,8,14,494
7,153302,2,10:38,-, Jan Vršek, Jiří Neradil,2015/2016,10,38,638
8,153302,2,11:50,-, Jakub Neradil, Tomáš Ostravský,2015/2016,11,50,710
9,153302,3,08:31,-, Jakub Šíma, David Schneider,2015/2016,8,31,511
0,153426,1,01:30,-, Petr Kaša, Tomáš Kriebel,2015/2016,1,30,90
1,153426,1,11:30,-, Michal Kuruc,,2015/2016,11,30,690
2,153426,2,02:17,-, Michal Kuruc,,2015/2016,2,17,137
3,153426,2,06:47,-, Michal Kuruc, David Haring,2015/2016,6,47,407
4,153426,3,05:12,-, Pavel Kohout, Petr Kohout,2015/2016,5,12,312
0,155310,2,04:44,-, Marek Toráč,,2015/2016,4,44,284
1,155310,3,01:34,-, Jiří Nekvinda,,2015/2016,1,34,94
2,155310,3,03:26,-, Martin Östereicher,,2015/2016,3,26,206
0,155930,1,04:25,-, Petr Chýle, Martin Hanek,2015/2016,4,25,265
1,155930,2,02:44,PP, Martin Chýle, Jakub Hokr,2015/2016,2,44,164
2,155930,2,08:10,-, Jakub Kaštánek, Bohuslav Bek,2015/2016,8,10,490
3,155930,3,11:54,-, Tomáš Svoboda,,2015/2016,11,54,714
0,158160,1,02:36,-, Jan Juklíček, Pavel Hušák,2016/2017,2,36,156
1,158160,1,05:50,-, Lukáš Vrba, Václav Babor,2016/2017,5,50,350
2,158160,1,06:39,-, Pavel Hušák, Jan Juklíček,2016/2017,6,39,399
3,158160,2,05:47,-, Václav Babor,,2016/2017,5,47,347
4,158160,2,06:15,-, Jan Juklíček, Michal Šmíd,2016/2017,6,15,375
5,158160,2,07:52,-, Michal Šmíd, Jan Juklíček,2016/2017,7,52,472
6,158160,3,01:03,-, Michal Šmíd, Jiří Bareš,2016/2017,1,3,63
7,158160,3,09:21,-, Václav Babor,,2016/2017,9,21,561
0,158165,1,01:58,-, Miroslav Šíp, Richard Mrázek,2016/2017,1,58,118
1,158165,1,05:39,-, Miroslav Šíp, Richard Mrázek,2016/2017,5,39,339
2,158165,1,06:12,-, Lukáš Frydrych, Jakub Malý,2016/2017,6,12,372
3,158165,2,08:14,-, Jakub Malý, Daniel Stránský,2016/2017,8,14,494
4,158165,2,10:14,-, Oldřich Pilecký,,2016/2017,10,14,614
5,158165,2,10:41,-, Jan Voříšek, Jakub Vrzák,2016/2017,10,41,641
6,158165,3,08:46,-, Oldřich Pilecký, Daniel Stránský,2016/2017,8,46,526
0,160490,1,08:01,-, David Musil,,2016/2017,8,1,481
1,160490,1,09:06,-, David Musil, Vít Novotný,2016/2017,9,6,546
2,160490,2,04:01,-, Jiří Novák, Ondřej Kulakowski,2016/2017,4,1,241
3,160490,2,08:04,-, David Musil,,2016/2017,8,4,484
4,160490,3,00:16,-, Jiří Müller, Ondřej Kulakowski,2016/2017,0,16,16
5,160490,3,06:54,-, Jiří Müller, Ondřej Kulakowski,2016/2017,6,54,414
6,160490,3,11:56,-, Jiří Müller, Ondřej Kulakowski,2016/2017,11,56,716
0,160696,2,07:04,-, Radim Onderka, Lukáš Žiga,2016/2017,7,4,424
0,165178,1,09:47,-, Miloš Zapadlo, Roman Žampach,2016/2017,9,47,587
1,165178,2,04:56,-, Ctibor Chmelař, Jakub Edr,2016/2017,4,56,296
