,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season,Date,Place,Weekday,ref1,ref2,League
21,249565,FBC Mobydick Praha,Prague Tigers E,6,3,Win,sobota 06.04.2019; SH VŠE,počet diváků: 0,začátek 13:40; konec 14:45,Utkání: 3XM92018/2019-A137; 23. kolo; PHaSČ třída mužů,"části: 2:1, 3:1, 1:1, střely na branku: 0:0","rozhodčí: Baloun Milan, Hrubín Jan",delegát: ,                   Martin Fojtík,                  Vilém Bodlák,                   Martin Fojtík,2018/2019,06.04.2019, SH VŠE,sobota, Baloun Milan, Hrubín Jan, PHaSČ třída mužů
22,222364,FBC Mobydick Praha,SK Bruisers Dejvice,8,3,Win,sobota 27.04.2019; SH Čakovice,počet diváků: 0,začátek 09:00; konec 10:05,Utkání: 3XM92018/2019-A145; 25. kolo; PHaSČ třída mužů,"části: 1:2, 1:2, 1:4, střely na branku: 0:0","rozhodčí: Stárek Vojtěch, Gaberdén Filip",delegát: ,                  Jakub Horyna,                       Ondřej Jilemnický,                  Jakub Horyna,2018/2019,27.04.2019, SH Čakovice,sobota, Stárek Vojtěch, Gaberdén Filip, PHaSČ třída mužů
23,251696,FBC Mobydick Praha,Lhokamo Panthers Praha F,5,2,Win,sobota 27.04.2019; SH Čakovice,počet diváků: 0,začátek 11:20; konec 12:25,Utkání: 3XM92018/2019-A147; 25. kolo; PHaSČ třída mužů,"části: 0:0, 3:0, 2:2, střely na branku: 0:0","rozhodčí: Gaberdén Filip, Fišer Daniel",delegát: ,                   Martin Fojtík,                  Zdeněk Jurák,                   Martin Fojtík,2018/2019,27.04.2019, SH Čakovice,sobota, Gaberdén Filip, Fišer Daniel, PHaSČ třída mužů
24,255299,FBC Mobydick Praha,SK Black Dragons,5,0,Win,neděle 15.09.2019; SH Králův Dvůr,počet diváků: 0,začátek 15:15; konec 16:10,Utkání: 3XM82019/2020-B007; 1. kolo; PH a SČ soutěž mužů,"části: 1:0, 2:0, 2:0, střely na branku: 0:0","rozhodčí: Trejbal Patrik, Baloun Lukáš",delegát: ,                  Martin Bosák,"Empty DataFrame
Columns: [Player]
Index: []",                  Martin Bosák,2019/2020,15.09.2019, SH Králův Dvůr,neděle, Trejbal Patrik, Baloun Lukáš, PH a SČ soutěž mužů
25,255295,FBC Mobydick Praha,AIK Steel Kladno B,3,5,Lose,neděle 15.09.2019; SH Králův Dvůr,počet diváků: 0,začátek 17:30; konec 18:30,Utkání: 3XM82019/2020-B009; 1. kolo; PH a SČ soutěž mužů,"části: 2:1, 2:0, 1:2, střely na branku: 0:0","rozhodčí: Trejbal Patrik, Baloun Lukáš",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                       Jaroslav Chalupný,                       Jaroslav Chalupný,2019/2020,15.09.2019, SH Králův Dvůr,neděle, Trejbal Patrik, Baloun Lukáš, PH a SČ soutěž mužů
26,257498,FBC Mobydick Praha,FBC Falcons Žižkov,4,5,Lose,neděle 29.09.2019; SH Králův Dvůr,počet diváků: 6,začátek 08:00; konec 08:59,Utkání: 3XM82019/2020-B010; 2. kolo; PH a SČ soutěž mužů,"části: 3:1, 1:3, 1:0, střely na branku: 0:0","rozhodčí: Tomeš Miroslav, Klán Martin",delegát: ,                 Tomáš Štumf,                  Michal Myšík,                  Michal Myšík,2019/2020,29.09.2019, SH Králův Dvůr,neděle, Tomeš Miroslav, Klán Martin, PH a SČ soutěž mužů
27,257495,FBC Mobydick Praha,FBC TJ Lokomotiva Zdice,4,0,Win,neděle 29.09.2019; SH Králův Dvůr,počet diváků: 0,začátek 10:20; konec 11:31,Utkání: 3XM82019/2020-B012; 2. kolo; PH a SČ soutěž mužů,"části: 0:0, 0:0, 4:0, střely na branku: 0:0","rozhodčí: Oberta Filip, Klán Martin",delegát: ,                  Rudolf Rubáš,"Empty DataFrame
Columns: [Player]
Index: []",                  Rudolf Rubáš,2019/2020,29.09.2019, SH Králův Dvůr,neděle, Oberta Filip, Klán Martin, PH a SČ soutěž mužů
28,260191,FBC Mobydick Praha,FBC Ressler boys,5,2,Win,sobota 12.10.2019; Sport Eden Beroun,počet diváků: 0,začátek 10:20; konec 11:22,Utkání: 3XM82019/2020-B021; 3. kolo; PH a SČ soutěž mužů,"části: 3:1, 0:0, 2:1, střely na branku: 0:0","rozhodčí: Budek Ondřej, Stuš Pavel",delegát: ,                     Petr Sukalovský,                   Pavel Trbušek,                     Petr Sukalovský,2019/2020,12.10.2019, Sport Eden Beroun,sobota, Budek Ondřej, Stuš Pavel, PH a SČ soutěž mužů
29,260184,FBC Mobydick Praha,Panthers Praha E,7,6,Win,sobota 12.10.2019; Sport Eden Beroun,počet diváků: 0,začátek 15:00; konec 16:15,Utkání: 3XM82019/2020-B025; 3. kolo; PH a SČ soutěž mužů,"části: 1:0, 1:5, 4:2, střely na branku: 0:0","rozhodčí: Štrunc Martin, Buzický Vladimír",delegát: ,                  Martin Bosák,                 Martin Denk,                  Martin Bosák,2019/2020,12.10.2019, Sport Eden Beroun,sobota, Štrunc Martin, Buzický Vladimír, PH a SČ soutěž mužů
30,261992,FBC Mobydick Praha,FBC Hamsters Vysočany,3,1,Win,sobota 02.11.2019; SH Králův Dvůr,počet diváků: 0,začátek 09:24; konec 10:26,Utkání: 3XM82019/2020-B029; 4. kolo; PH a SČ soutěž mužů,"části: 1:1, 1:0, 1:0, střely na branku: 0:0","rozhodčí: Buzický Vladimír, Mošna Hynek",delegát: ,                  Martin Bosák,                   Václav Kašpar,                  Martin Bosák,2019/2020,02.11.2019, SH Králův Dvůr,sobota, Buzický Vladimír, Mošna Hynek, PH a SČ soutěž mužů
