,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,278196,1,09:51,-, Rudolf Rubáš, Jan Jiráň,2019/2020,9,51,591
1,278196,3,02:03,-, David Hochman, Tomáš Štumf,2019/2020,2,3,123
2,278196,3,08:46,-, Petr Sukalovský, Tomáš Štumf,2019/2020,8,46,526
0,278193,1,06:13,-, Petr Sukalovský, Jaroslav Drahotínský,2019/2020,6,13,373
1,278193,2,08:42,-, David Hochman, Matej Kolesár,2019/2020,8,42,522
2,278193,3,03:02,-, Rudolf Rubáš, Viliam Virba,2019/2020,3,2,182
0,284100,2,04:47,-, Petr Sukalovský, Martin Bosák,2020/2021,4,47,287
1,284100,2,10:25,SH, Martin Bosák, Jan Jiráň,2020/2021,10,25,625
0,284104,1,00:04,-, Martin Bosák, Marek Pukl,2020/2021,0,4,4
1,284104,1,00:12,-, Martin Bosák, Petr Sukalovský,2020/2021,0,12,12
2,284104,1,02:31,-, Petr Sukalovský, Martin Bosák,2020/2021,2,31,151
3,284104,1,06:15,-, Petr Sukalovský, Martin Bosák,2020/2021,6,15,375
4,284104,1,07:01,-, Martin Bosák, Petr Čermák,2020/2021,7,1,421
5,284104,1,08:26,-, Petr Sukalovský, Marek Pukl,2020/2021,8,26,506
0,286056,1,08:10,PP, Andrej Lipan, Petr Sukalovský,2020/2021,8,10,490
1,286056,2,00:49,-, Aleš Martínek, Jaroslav Drahotínský,2020/2021,0,49,49
2,286056,2,08:24,-, Petr Sukalovský, Martin Bosák,2020/2021,8,24,504
3,286056,3,02:23,PP, Petr Sukalovský, Martin Bosák,2020/2021,2,23,143
4,286056,3,04:48,SH, Josef Kostelecký, Andrej Lipan,2020/2021,4,48,288
0,286054,1,00:46,-, Martin Bosák, Marek Pukl,2020/2021,0,46,46
1,286054,3,07:32,-, Petr Sukalovský, Tomáš Štumf,2020/2021,7,32,452
0,290622,1,00:21,-, Petr Zahradník, Jakub Vilim,2021/2022,0,21,21
1,290622,2,01:43,PP, Petr Zahradník, Jakub Vilim,2021/2022,1,43,103
2,290622,2,01:59,-, Marek Pukl, Tomáš Štumf,2021/2022,1,59,119
3,290622,2,11:02,-, Petr Zahradník, Jakub Vilim,2021/2022,11,2,662
4,290622,3,08:52,-, Rudolf Rubáš, Andrej Lipan,2021/2022,8,52,532
