,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,260184,1,10:50,-, Martin Denk, Petr Benedikt,2019/2020,10,50,650
1,260184,2,02:21,-, Jan Sysel, Petr Mencl,2019/2020,2,21,141
2,260184,3,00:36,-, David Volek, Tomáš Forejtek,2019/2020,0,36,36
3,260184,3,05:59,-, Jakub Mucha, Tomáš Ducháček,2019/2020,5,59,359
4,260184,3,06:26,-, Tomáš Drašnar, Petr Benedikt,2019/2020,6,26,386
5,260184,3,07:17,-, Martin Denk,,2019/2020,7,17,437
0,261992,1,08:33,-, Václav Kašpar, Pavel Bartůněk,2019/2020,8,33,513
0,266168,1,07:41,-, Petr Špaček, David Suchánek,2019/2020,7,41,461
1,266168,1,11:00,-, David Suchánek, Vladimír Labský,2019/2020,11,0,660
2,266168,2,03:49,PP, Jakub Mikeš, Luděk Hrouda,2019/2020,3,49,229
3,266168,3,03:23,-, Michael Rendl, David Suchánek,2019/2020,3,23,203
0,266163,1,07:57,-, Zdeněk Halamásek,,2019/2020,7,57,477
1,266163,2,02:47,-, Jaroslav Kotil,,2019/2020,2,47,167
2,266163,2,06:25,-, Martin Tučný, Ondřej Švanda,2019/2020,6,25,385
3,266163,3,08:20,-, Jan Görtler, Martin Roubíček,2019/2020,8,20,500
0,271018,2,00:15,-, Tomáš Zimmer, Petr Lhotka,2019/2020,0,15,15
1,271018,3,09:05,PP, Tomáš Lasek, Martin Laštovka,2019/2020,9,5,545
0,271013,1,05:38,-, Jiří Neradil, David Schneider,2019/2020,5,38,338
1,271013,2,01:08,-, Jan Vršek, David Schneider,2019/2020,1,8,68
2,271013,2,02:42,-, Jiří Neradil, Jaroslav Chalupný,2019/2020,2,42,162
3,271013,3,00:39,-, Jan Vršek,,2019/2020,0,39,39
4,271013,3,05:56,-, Michal Kárník, Jan Hejcman,2019/2020,5,56,356
5,271013,3,11:15,-, Jaroslav Chalupný, Jiří Neradil,2019/2020,11,15,675
6,271013,3,11:47,EN, Michal Kárník, Petr Hora,2019/2020,11,47,707
0,278196,2,06:38,-, Petr Novák,,2019/2020,6,38,398
1,278196,3,05:58,-, Jurij Dredenidov, Jakub Petříček,2019/2020,5,58,358
0,278193,1,03:48,-, Zdeněk Burian, Štěpán Pavelka,2019/2020,3,48,228
1,278193,1,04:30,-, Petr Káda, Michal Myšík,2019/2020,4,30,270
