,Id,Player,G,A,PTS,Season,Team_against,Team_for,Hattrick,Date,League
167,242544, Libor Hrach ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
168,242544, Jan Novák ,0,1,1,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
169,242544, Jakub Vilim ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
170,242544, Petr Zahradník ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
171,242540, Aleš Martínek ,1,0,1,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
172,242540, Lucie Kisugite ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
173,242540, Šimon Smrček ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
174,242540, Jan Jiráň ,0,1,1,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
175,242540, Jaroslav Drahotínský ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
176,242540, Martin Bosák ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
177,242540, Libor Hrach ,2,0,2,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
178,242540, Jan Novák ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
179,242540, Jakub Vilim ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
