,Id,Player,G,A,PTS,Season,Team_against,Team_for
6,139413,33 Štěpán Kalina (U),1,0,1,2015/2016,FBC Atomovky,FBC Penguins Praha
7,139413,73 Kryštof Hoch (U),1,0,1,2015/2016,FBC Atomovky,FBC Penguins Praha
8,139413,97 Ondřej Zeman (U),1,0,1,2015/2016,FBC Atomovky,FBC Penguins Praha
0,139432,2 Nicholas McLean (U),0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha
1,139432,6 Tomáš Weisser (U),1,0,1,2015/2016,TJ Kyje,FBC Penguins Praha
2,139432,7 Martin Bukovič (U),0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha
3,139432,9 Jakub Klement (U),1,3,4,2015/2016,TJ Kyje,FBC Penguins Praha
4,139432,11 Filip Terč (U),0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha
5,139432,16 Mikuláš Vyleta (U),0,1,1,2015/2016,TJ Kyje,FBC Penguins Praha
6,139432,17 Jakub Hruška (U),5,0,5,2015/2016,TJ Kyje,FBC Penguins Praha
7,139432,22 Jiří Kvasnička (U),0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha
8,139432,33 Štěpán Kalina (U),2,0,2,2015/2016,TJ Kyje,FBC Penguins Praha
9,139432,73 Kryštof Hoch (U),0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha
10,139432,97 Ondřej Zeman (U),0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha
0,142369,2 Nicholas McLean (U),0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha
1,142369,4 Stanislav Kodet (U),0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha
2,142369,6 Tomáš Weisser (U),1,1,2,2015/2016,Athletics Praha D,FBC Penguins Praha
3,142369,7 Martin Bukovič (U),0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha
4,142369,9 Jakub Klement (U),0,1,1,2015/2016,Athletics Praha D,FBC Penguins Praha
5,142369,11 Filip Terč (U),0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha
6,142369,17 Jakub Hruška (U),0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha
7,142369,18 Michal Šíma (U),1,0,1,2015/2016,Athletics Praha D,FBC Penguins Praha
8,142369,73 Kryštof Hoch (U),1,2,3,2015/2016,Athletics Praha D,FBC Penguins Praha
9,142369,75 Max Horn (U),0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha
10,142369,97 Ondřej Zeman (U),1,0,1,2015/2016,Athletics Praha D,FBC Penguins Praha
0,142372,2 Nicholas McLean (U),0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
1,142372,4 Stanislav Kodet (U),0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
2,142372,6 Tomáš Weisser (U),0,1,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
3,142372,7 Martin Bukovič (U),1,1,2,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
4,142372,9 Jakub Klement (U),1,1,2,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
5,142372,11 Filip Terč (U),0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
6,142372,17 Jakub Hruška (U),1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
7,142372,18 Michal Šíma (U),1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
8,142372,33 Štěpán Kalina (U),0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
9,142372,73 Kryštof Hoch (U),0,1,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
10,142372,75 Max Horn (U),0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
