,Id,Player,G,A,PTS,Season,Team_against,Team_for
9,229873,99 Petr Zahradník (U),0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha
0,232664,3 Aleš Martínek (O),0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
1,232664,5 Lucie Kisugite (U),1,1,2,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
2,232664,6 Šimon Smrček (O),0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
3,232664,15 Jan Jiráň (O),0,2,2,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
4,232664,17 Martin Fojtík (U),2,0,2,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
5,232664,22 Jaroslav Drahotínský (U),0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
6,232664,23 Martin Bosák (U),6,1,7,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
7,232664,28 Libor Hrach (U),1,1,2,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
8,232664,30 Jan Šrámek (U),0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
9,232664,42 Jan Novák (O),0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
10,232664,68 Jakub Kalfiřt (U),1,0,1,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
11,232664,81 Jakub Horyna (U),0,2,2,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
12,232664,92 Jakub Vilim (U),1,0,1,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
13,232664,99 Petr Zahradník (U),0,1,1,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha
0,232662,3 Aleš Martínek (O),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
1,232662,5 Lucie Kisugite (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
2,232662,6 Šimon Smrček (O),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
3,232662,15 Jan Jiráň (O),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
4,232662,17 Martin Fojtík (U),2,0,2,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
5,232662,22 Jaroslav Drahotínský (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
6,232662,23 Martin Bosák (U),0,2,2,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
7,232662,28 Libor Hrach (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
8,232662,30 Jan Šrámek (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
9,232662,42 Jan Novák (O),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
10,232662,68 Jakub Kalfiřt (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
11,232662,81 Jakub Horyna (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
12,232662,92 Jakub Vilim (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
13,232662,99 Petr Zahradník (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
0,236944,3 Aleš Martínek (O),0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha
1,236944,5 Lucie Kisugite (U),0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha
2,236944,6 Šimon Smrček (U),0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha
3,236944,15 Jan Jiráň (O),0,1,1,2018/2019,FBC Majklar,FBC Mobydick Praha
4,236944,17 Martin Fojtík (U),1,2,3,2018/2019,FBC Majklar,FBC Mobydick Praha
5,236944,23 Martin Bosák (U),2,1,3,2018/2019,FBC Majklar,FBC Mobydick Praha
6,236944,24 Vít Hryzák (O),0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha
7,236944,28 Libor Hrach (U),0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha
8,236944,42 Jan Novák (O),0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha
9,236944,81 Jakub Horyna (U),1,1,2,2018/2019,FBC Majklar,FBC Mobydick Praha
10,236944,92 Jakub Vilim (U),0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha
11,236944,99 Petr Zahradník (U),1,0,1,2018/2019,FBC Majklar,FBC Mobydick Praha
0,236942,3 Aleš Martínek (O),1,0,1,2018/2019,FC Bučis Team B,FBC Mobydick Praha
1,236942,5 Lucie Kisugite (U),0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha
2,236942,6 Šimon Smrček (U),0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha
3,236942,15 Jan Jiráň (O),0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha
4,236942,17 Martin Fojtík (U),0,1,1,2018/2019,FC Bučis Team B,FBC Mobydick Praha
5,236942,23 Martin Bosák (U),0,2,2,2018/2019,FC Bučis Team B,FBC Mobydick Praha
6,236942,24 Vít Hryzák (O),0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha
7,236942,28 Libor Hrach (U),0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha
8,236942,42 Jan Novák (O),0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha
9,236942,81 Jakub Horyna (U),2,1,3,2018/2019,FC Bučis Team B,FBC Mobydick Praha
10,236942,92 Jakub Vilim (U),1,0,1,2018/2019,FC Bučis Team B,FBC Mobydick Praha
11,236942,99 Petr Zahradník (U),0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha
0,239917,3 Aleš Martínek (O),1,0,1,2018/2019,FBC Blue Horses B,FBC Mobydick Praha
1,239917,5 Lucie Kisugite (U),0,0,0,2018/2019,FBC Blue Horses B,FBC Mobydick Praha
