,Id,Period,Time,Player,TM,Foul,Season
1,50281,2. část,08:42,11 Václav Rides,2,925 nesportovní chování,2011/2012
2,50281,3. část,11:29,4 Jakub Mádr,2,923 opakované přestupky,2011/2012
0,50278,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2011/2012
0,52514,1. část,05:23,7 Miloš Zapadlo,2,925 nesportovní chování,2011/2012
0,52510,2. část,03:39,11 Václav Rides,2,901 sekání,2011/2012
0,53206,2. část,04:07,22 Jakub Nováček,2,902 blokování hokejky,2011/2012
1,53206,2. část,11:03,48 Roman Žampach,2,925 nesportovní chování,2011/2012
2,53206,2. část,11:03,48 Roman Žampach,10,925 nesportovní chování,2011/2012
3,53206,3. část,10:00,3 Martin Elišák,2,901 sekání,2011/2012
0,53208,1. část,05:23,17 Adam Štefánik,2,911 bránění ve hře,2011/2012
1,53208,3. část,05:18,86 Zdeněk Karásek,2,907 nedovolené vrážení,2011/2012
2,53208,3. část,10:15,21 Štěpán Trousil,2,922 špatné střídání,2011/2012
0,55810,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2011/2012
0,56545,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2011/2012
0,56541,1. část,04:24,78 Zdeněk Máčel,2,911 bránění ve hře,2011/2012
1,56541,2. část,05:36,3 Martin Elišák,2,923 opakované přestupky,2011/2012
2,56541,3. část,01:53,3 Martin Elišák,2,901 sekání,2011/2012
3,56541,3. část,08:40,5 Ladislav Tyll,2,925 nesportovní chování,2011/2012
4,56541,3. část,09:21,48 Roman Žampach,2,904 vysoká hokejka,2011/2012
5,56541,3. část,10:03,21 Štěpán Trousil,2,907 nedovolené vrážení,2011/2012
6,56541,3. část,10:40,3 Martin Elišák,2,902 blokování hokejky,2011/2012
0,58485,1. část,03:38,78 Zdeněk Máčel,2,902 blokování hokejky,2011/2012
1,58485,3. část,04:45,4 Jakub Mádr,2,911 bránění ve hře,2011/2012
0,58483,1. část,11:51,7 Miloš Zapadlo,2,909 hrubost,2011/2012
0,59987,2. část,03:26,5 Ladislav Tyll,2,911 bránění ve hře,2011/2012
1,59987,3. část,01:44,48 Roman Žampach,2,923 opakované přestupky,2011/2012
2,59987,3. část,06:29,4 Jakub Mádr,2,911 bránění ve hře,2011/2012
0,59990,2. část,03:52,22 Jakub Nováček,2,911 bránění ve hře,2011/2012
1,59990,3. část,03:06,21 Štěpán Trousil,2,904 vysoká hokejka,2011/2012
2,59990,3. část,10:44,12 Adam Bardún,2,922 špatné střídání,2011/2012
0,61490,1. část,09:20,17 Adam Štefánik,2,907 nedovolené vrážení,2011/2012
1,61490,3. část,02:59,3 Martin Elišák,2,902 blokování hokejky,2011/2012
2,61490,3. část,11:43,21 Štěpán Trousil,2,907 nedovolené vrážení,2011/2012
0,61483,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2011/2012
0,64575,2. část,02:41,7 Miloš Zapadlo,2,925 nesportovní chování,2012/2013
1,64575,3. část,00:51,17 Adam Jablonský,2,902 blokování hokejky,2012/2013
2,64575,3. část,10:51,3 Martin Elišák,2,923 opakované přestupky,2012/2013
0,64573,2. část,11:50,77 Ctibor Chmelař,2,923 opakované přestupky,2012/2013
1,64573,3. část,01:28,17 Adam Jablonský,2,911 bránění ve hře,2012/2013
2,64573,3. část,06:30,86 Zdeněk Karásek,2,919 hra na zemi,2012/2013
3,64573,3. část,07:48,4 Jakub Mádr,2,919 hra na zemi,2012/2013
0,66191,2. část,02:33,3 Martin Elišák,2,901 sekání,2012/2013
1,66191,2. část,06:49,86 Zdeněk Karásek,2,909 hrubost,2012/2013
2,66191,2. část,11:18,5 Ladislav Tyll,2,923 opakované přestupky,2012/2013
3,66191,3. část,02:47,48 Roman Žampach,2,923 opakované přestupky,2012/2013
0,66193,1. část,04:55,7 Miloš Zapadlo,2,909 hrubost,2012/2013
1,66193,3. část,00:48,3 Martin Elišák,2,909 hrubost,2012/2013
0,67676,2. část,05:13,8 Filip Weber,2,901 sekání,2012/2013
1,67676,3. část,10:25,86 Zdeněk Karásek,2,901 sekání,2012/2013
0,67674,1. část,05:30,49 Filip Trousil,2,925 nesportovní chování,2012/2013
0,69444,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2012/2013
0,69442,3. část,01:23,7 Miloš Zapadlo,2,923 opakované přestupky,2012/2013
1,69442,3. část,11:40,7 Miloš Zapadlo,2,911 bránění ve hře,2012/2013
