,Id,Player,G,A,PTS,Season,Team_against,Team_for
2,12900,4 Jakub Mádr (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
3,12900,5 Ladislav Tyll (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
4,12900,6 Milan Balzer (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
5,12900,7 Jakub Nováček (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
6,12900,8 Filip Weber (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
7,12900,9 Roman Žampach (U),1,1,2,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
8,12900,10 Petr Škaloud (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
9,12900,11 Václav Rides (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
0,12904,2 Zdeněk Máčel (U),1,1,2,2008/2009,TBC Horoměřice B,FBC Ressler boys
1,12904,3 Pavel Maršík (U),1,1,2,2008/2009,TBC Horoměřice B,FBC Ressler boys
2,12904,4 Jakub Mádr (U),2,1,3,2008/2009,TBC Horoměřice B,FBC Ressler boys
3,12904,5 Ladislav Tyll (U),1,1,2,2008/2009,TBC Horoměřice B,FBC Ressler boys
4,12904,6 Milan Balzer (U),1,0,1,2008/2009,TBC Horoměřice B,FBC Ressler boys
5,12904,7 Jakub Nováček (U),0,2,2,2008/2009,TBC Horoměřice B,FBC Ressler boys
6,12904,10 Petr Škaloud (U),0,1,1,2008/2009,TBC Horoměřice B,FBC Ressler boys
7,12904,11 Václav Rides (U),2,0,2,2008/2009,TBC Horoměřice B,FBC Ressler boys
0,14226,3 Pavel Maršík (U),0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys
1,14226,4 Jakub Mádr (U),0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys
2,14226,5 Ladislav Tyll (U),1,0,1,2009/2010,FBC Start98 B,FBC Ressler boys
3,14226,8 Filip Weber (U),0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys
4,14226,10 Petr Škaloud (U),0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys
5,14226,11 Václav Rides (U),0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys
6,14226,12 Adam Bardún (U),0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys
7,14226,21 Štěpán Trousil (U),0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys
8,14226,22 Jakub Nováček (U),0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys
9,14226,48 Roman Žampach (U),0,1,1,2009/2010,FBC Start98 B,FBC Ressler boys
10,14226,78 Zdeněk Máčel (U),0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys
11,14226,86 Zdeněk Karásek (U),0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys
0,14224,3 Pavel Maršík (U),0,1,1,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
1,14224,4 Jakub Mádr (U),0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
2,14224,5 Ladislav Tyll (U),0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
3,14224,8 Filip Weber (U),0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
4,14224,10 Petr Škaloud (U),1,1,2,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
5,14224,11 Václav Rides (U),0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
6,14224,12 Adam Bardún (U),0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
7,14224,21 Štěpán Trousil (U),0,2,2,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
8,14224,22 Jakub Nováček (U),1,0,1,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
9,14224,48 Roman Žampach (U),2,0,2,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
10,14224,78 Zdeněk Máčel (U),0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
11,14224,86 Zdeněk Karásek (U),0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys
0,15977,3 Pavel Maršík (U),1,0,1,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys
1,15977,4 Jakub Mádr (U),0,0,0,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys
2,15977,5 Ladislav Tyll (U),3,0,3,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys
3,15977,6 Milan Balzer (U),0,0,0,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys
4,15977,11 Václav Rides (U),0,1,1,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys
5,15977,12 Adam Bardún (U),0,0,0,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys
6,15977,21 Štěpán Trousil (U),0,1,1,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys
7,15977,22 Jakub Nováček (U),0,0,0,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys
8,15977,48 Roman Žampach (U),0,1,1,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys
9,15977,86 Zdeněk Karásek (U),0,0,0,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys
0,15986,3 Pavel Maršík (U),1,0,1,2009/2010,Sokol Rudná,FBC Ressler boys
1,15986,4 Jakub Mádr (U),0,1,1,2009/2010,Sokol Rudná,FBC Ressler boys
2,15986,5 Ladislav Tyll (U),1,0,1,2009/2010,Sokol Rudná,FBC Ressler boys
3,15986,6 Milan Balzer (U),0,0,0,2009/2010,Sokol Rudná,FBC Ressler boys
4,15986,8 Filip Weber (U),0,0,0,2009/2010,Sokol Rudná,FBC Ressler boys
5,15986,10 Petr Škaloud (U),1,1,2,2009/2010,Sokol Rudná,FBC Ressler boys
6,15986,11 Václav Rides (U),0,0,0,2009/2010,Sokol Rudná,FBC Ressler boys
7,15986,12 Adam Bardún (U),0,0,0,2009/2010,Sokol Rudná,FBC Ressler boys
8,15986,21 Štěpán Trousil (U),0,1,1,2009/2010,Sokol Rudná,FBC Ressler boys
9,15986,22 Jakub Nováček (U),2,1,3,2009/2010,Sokol Rudná,FBC Ressler boys
10,15986,48 Roman Žampach (U),0,1,1,2009/2010,Sokol Rudná,FBC Ressler boys
11,15986,86 Zdeněk Karásek (U),1,0,1,2009/2010,Sokol Rudná,FBC Ressler boys
0,17157,4 Jakub Mádr (U),0,1,1,2009/2010,FBC Žraloci Příbram,FBC Ressler boys
1,17157,5 Ladislav Tyll (U),0,1,1,2009/2010,FBC Žraloci Příbram,FBC Ressler boys
2,17157,11 Václav Rides (U),2,1,3,2009/2010,FBC Žraloci Příbram,FBC Ressler boys
3,17157,12 Adam Bardún (U),0,0,0,2009/2010,FBC Žraloci Příbram,FBC Ressler boys
4,17157,18 Roman Žampach (U),0,0,0,2009/2010,FBC Žraloci Příbram,FBC Ressler boys
5,17157,21 Štěpán Trousil (U),2,0,2,2009/2010,FBC Žraloci Příbram,FBC Ressler boys
6,17157,22 Jakub Nováček (U),0,3,3,2009/2010,FBC Žraloci Příbram,FBC Ressler boys
7,17157,78 Zdeněk Máčel (U),2,0,2,2009/2010,FBC Žraloci Příbram,FBC Ressler boys
0,17158,4 Jakub Mádr (U),0,1,1,2009/2010,Pragsport,FBC Ressler boys
1,17158,5 Ladislav Tyll (U),0,1,1,2009/2010,Pragsport,FBC Ressler boys
2,17158,11 Václav Rides (U),2,0,2,2009/2010,Pragsport,FBC Ressler boys
3,17158,12 Adam Bardún (U),0,1,1,2009/2010,Pragsport,FBC Ressler boys
4,17158,21 Štěpán Trousil (U),0,1,1,2009/2010,Pragsport,FBC Ressler boys
5,17158,22 Jakub Nováček (U),0,0,0,2009/2010,Pragsport,FBC Ressler boys
6,17158,48 Roman Žampach (U),1,0,1,2009/2010,Pragsport,FBC Ressler boys
7,17158,78 Zdeněk Máčel (U),1,0,1,2009/2010,Pragsport,FBC Ressler boys
0,18371,4 Jakub Mádr (U),0,0,0,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
1,18371,5 Ladislav Tyll (U),1,0,1,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
2,18371,6 Milan Balzer (U),0,0,0,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
3,18371,7 Miloš Zapadlo (U),1,0,1,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
4,18371,8 Filip Weber (U),0,0,0,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
5,18371,10 Petr Škaloud (U),0,0,0,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
6,18371,11 Václav Rides (U),0,1,1,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
7,18371,21 Štěpán Trousil (U),1,1,2,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
8,18371,22 Jakub Nováček (U),0,0,0,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
9,18371,48 Roman Žampach (U),0,0,0,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
10,18371,78 Zdeněk Máčel (U),0,0,0,2009/2010,FbŠ Bohemians BANG team D,FBC Ressler boys
0,18389,4 Jakub Mádr (U),0,0,0,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
1,18389,5 Ladislav Tyll (U),0,1,1,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
2,18389,6 Milan Balzer (U),0,0,0,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
3,18389,7 Miloš Zapadlo (U),0,0,0,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
4,18389,8 Filip Weber (U),0,0,0,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
5,18389,10 Petr Škaloud (U),0,0,0,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
6,18389,11 Václav Rides (U),2,0,2,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
7,18389,12 Adam Bardún (U),0,0,0,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
8,18389,21 Štěpán Trousil (U),0,0,0,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
9,18389,22 Jakub Nováček (U),0,0,0,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
10,18389,48 Roman Žampach (U),0,1,1,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
11,18389,78 Zdeněk Máčel (U),0,0,0,2009/2010,FT Sokol Břevnov B,FBC Ressler boys
0,19348,3 Martin Elišák (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
1,19348,4 Jakub Mádr (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
2,19348,5 Ladislav Tyll (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
3,19348,6 Milan Balzer (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
4,19348,7 Miloš Zapadlo (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
5,19348,8 Filip Weber (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
6,19348,10 Petr Škaloud (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
7,19348,11 Václav Rides (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
8,19348,12 Adam Bardún (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
9,19348,13 Lukáš Benda (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
10,19348,21 Štěpán Trousil (U),1,0,1,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
11,19348,22 Jakub Nováček (U),1,1,2,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
12,19348,48 Roman Žampach (U),0,0,0,2009/2010,FbK TJ Sokol Žižkov II,FBC Ressler boys
0,19350,4 Jakub Mádr (U),0,1,1,2009/2010,FK Spartak Praha B,FBC Ressler boys
1,19350,5 Ladislav Tyll (U),1,0,1,2009/2010,FK Spartak Praha B,FBC Ressler boys
2,19350,6 Milan Balzer (U),0,0,0,2009/2010,FK Spartak Praha B,FBC Ressler boys
3,19350,7 Miloš Zapadlo (U),1,1,2,2009/2010,FK Spartak Praha B,FBC Ressler boys
4,19350,8 Filip Weber (U),0,0,0,2009/2010,FK Spartak Praha B,FBC Ressler boys
5,19350,10 Petr Škaloud (U),0,0,0,2009/2010,FK Spartak Praha B,FBC Ressler boys
6,19350,11 Václav Rides (U),2,0,2,2009/2010,FK Spartak Praha B,FBC Ressler boys
7,19350,12 Adam Bardún (U),1,1,2,2009/2010,FK Spartak Praha B,FBC Ressler boys
