,Id,Player,G,A,PTS,Season,Team_against,Team_for
2,6472,7 Tomáš Jirásek (U),0,0,0,2008/2009,FBC Ressler boys,TBC Horoměřice B
3,6472,9 Luboš Sadílek (U),0,0,0,2008/2009,FBC Ressler boys,TBC Horoměřice B
4,6472,10 Libor Koubek (U),1,2,3,2008/2009,FBC Ressler boys,TBC Horoměřice B
5,6472,13 Jan Hloušek (U),0,1,1,2008/2009,FBC Ressler boys,TBC Horoměřice B
6,6472,14 Marek Šafařík (U),1,0,1,2008/2009,FBC Ressler boys,TBC Horoměřice B
7,6472,81 Tomáš Kameník (U),1,0,1,2008/2009,FBC Ressler boys,TBC Horoměřice B
8,6472,89 Zdeněk Sadílek (U),0,0,0,2008/2009,FBC Ressler boys,TBC Horoměřice B
0,6470,4 Drahomír Tomašuk (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
1,6470,15 Jan Volf (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
2,6470,20 Michal Cypris (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
3,6470,23 Jan Maťátko (U),0,1,1,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
4,6470,24 Karel Kocián (U),0,1,1,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
5,6470,25 Jakub Kolda (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
6,6470,26 Jan Jadrný (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
7,6470,28 Vladimír Ouřada (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
8,6470,71 Martin Švehla (U),2,0,2,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
9,6470,78 Rudolf Müller (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
0,456,4 Martin Řepka (U),1,1,2,2008/2009,FBC Ressler boys,Game Over Praha
1,456,6 Filip Rubeš (U),1,1,2,2008/2009,FBC Ressler boys,Game Over Praha
2,456,9 Aleš Holinský (U),1,0,1,2008/2009,FBC Ressler boys,Game Over Praha
3,456,13 Martin Svítil (U),0,0,0,2008/2009,FBC Ressler boys,Game Over Praha
4,456,16 Martin Štamfest (U),0,0,0,2008/2009,FBC Ressler boys,Game Over Praha
5,456,17 Lukáš Rubeš (U),1,2,3,2008/2009,FBC Ressler boys,Game Over Praha
6,456,31 Daniel Novák (U),0,0,0,2008/2009,FBC Ressler boys,Game Over Praha
0,8515,2 Jan Klozar (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
1,8515,5 Martin Kříž (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
2,8515,6 Boris Šálek (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
3,8515,7 Ondřej Kotal (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
4,8515,9 Pavel Švarc (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
5,8515,11 Martin Luhan (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
6,8515,17 David Böhm (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
7,8515,20 Martin Rejmiš (U),0,1,1,2008/2009,FBC Ressler boys,FKMP Praha
8,8515,21 Martin Červený (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
9,8515,33 Ondřej Kuželka (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
10,8515,47 Filip Červený (U),1,0,1,2008/2009,FBC Ressler boys,FKMP Praha
0,9641,2 Vojtěch Tábor (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
1,9641,4 Petr Bartoň (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
2,9641,7 Lukáš Svatek (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
3,9641,8 Marek Pastuszek (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
4,9641,9 Jan Slavíček (U),1,0,1,2008/2009,FBC Ressler boys,FbC Engineers
5,9641,11 Jiří Chrobok (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
6,9641,12 Ladislav Peleška (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
7,9641,14 Matěj Nesvadba (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
8,9641,16 Martin Svatek (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
9,9641,19 Jan Krug (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
10,9641,21 Jan Nebáznivý (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
11,9641,24 Petr Marušák (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
12,9641,99 Martin Kováč (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
0,9636,2 Tomáš Zicha (U),0,0,0,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
1,9636,3 Michael Knittl (U),0,0,0,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
2,9636,6 Zdeněk Melichar (U),0,0,0,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
3,9636,11 Petr Kleprlík (U),1,0,1,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
4,9636,13 Filip Bollardt (U),0,0,0,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
5,9636,15 Luděk Kleprlík (U),0,0,0,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
6,9636,20 Pavel Vachuda (U),0,0,0,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
7,9636,24 Daniel Veselý (U),1,0,1,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
8,9636,33 David Šrámek (U),1,0,1,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
9,9636,44 Antonín Kroupa (U),0,0,0,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
0,10203,3 Adam Šumelda (U),0,0,0,2008/2009,FBC Ressler boys,Floorball Club Falcon
1,10203,7 Tomáš Kopejsko (U),0,1,1,2008/2009,FBC Ressler boys,Floorball Club Falcon
2,10203,8 Matěj Vlach (U),0,0,0,2008/2009,FBC Ressler boys,Floorball Club Falcon
3,10203,10 Vojtěch Machačka (U),0,0,0,2008/2009,FBC Ressler boys,Floorball Club Falcon
4,10203,11 Ondřej Ždímal (U),0,0,0,2008/2009,FBC Ressler boys,Floorball Club Falcon
5,10203,15 Prokop Váňa (U),0,1,1,2008/2009,FBC Ressler boys,Floorball Club Falcon
6,10203,18 Pavel Machačka (U),0,0,0,2008/2009,FBC Ressler boys,Floorball Club Falcon
7,10203,20 Zdeněk Holub (U),0,0,0,2008/2009,FBC Ressler boys,Floorball Club Falcon
8,10203,24 Jakub Ších (U),1,1,2,2008/2009,FBC Ressler boys,Floorball Club Falcon
9,10203,66 Tomáš Hodek (U),1,0,1,2008/2009,FBC Ressler boys,Floorball Club Falcon
10,10203,77 Michal Ždímal (U),1,0,1,2008/2009,FBC Ressler boys,Floorball Club Falcon
11,10203,88 Tomáš Novák (U),0,0,0,2008/2009,FBC Ressler boys,Floorball Club Falcon
0,10206,7 Ondřej Materna (U),0,0,0,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
1,10206,11 Tomáš Blahoš (U),1,0,1,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
2,10206,12 Eduard Frey (U),1,0,1,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
3,10206,13 Petr Vrchota (U),1,2,3,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
4,10206,17 Daniel Knopp (U),1,0,1,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
5,10206,33 Vojtěch Pohl (U),0,0,0,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
6,10206,96 Jiří Cimler (U),0,1,1,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
7,10206,97 Jan Tetiva (U),0,0,0,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
0,12532,4 Petr Vavrečka (U),0,0,0,2008/2009,FBC Ressler boys,FC Bílé Hole
1,12532,7 Jakub Šára (U),1,0,1,2008/2009,FBC Ressler boys,FC Bílé Hole
2,12532,9 Štěpán Jaroch (U),0,1,1,2008/2009,FBC Ressler boys,FC Bílé Hole
3,12532,10 Tomáš Podlešák (U),0,0,0,2008/2009,FBC Ressler boys,FC Bílé Hole
4,12532,13 Petr Altman (U),2,0,2,2008/2009,FBC Ressler boys,FC Bílé Hole
5,12532,19 Josef Charvát (U),0,1,1,2008/2009,FBC Ressler boys,FC Bílé Hole
0,12900,3 Jaroslav Pokorný (U),0,0,0,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
1,12900,17 Pavol Zajac (U),1,0,1,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
2,12900,18 Pavel Pokorný (U),0,0,0,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
3,12900,19 Zoltán Gergely (U),0,1,1,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
4,12900,24 Jan Plechata (U),0,1,1,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
5,12900,27 Jan Pintr (U),0,0,0,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
6,12900,87 Petr Haspeklo (U),1,1,2,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
7,12900,93 Lukáš Menšík (U),1,0,1,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
0,12904,2 Richard Lučan (U),1,1,2,2008/2009,FBC Ressler boys,TBC Horoměřice B
1,12904,5 Lukáš Rusanov (U),0,0,0,2008/2009,FBC Ressler boys,TBC Horoměřice B
2,12904,7 Tomáš Jirásek (U),0,0,0,2008/2009,FBC Ressler boys,TBC Horoměřice B
3,12904,9 Luboš Sadílek (U),1,1,2,2008/2009,FBC Ressler boys,TBC Horoměřice B
4,12904,10 Libor Koubek (U),0,1,1,2008/2009,FBC Ressler boys,TBC Horoměřice B
5,12904,13 Jan Hloušek (U),1,0,1,2008/2009,FBC Ressler boys,TBC Horoměřice B
6,12904,14 Marek Šafařík (U),1,2,3,2008/2009,FBC Ressler boys,TBC Horoměřice B
7,12904,81 Tomáš Kameník (U),3,1,4,2008/2009,FBC Ressler boys,TBC Horoměřice B
0,14226,6 David Valeš (U),0,0,0,2009/2010,FBC Ressler boys,FBC Start98 B
1,14226,9 David Chotětický (U),0,0,0,2009/2010,FBC Ressler boys,FBC Start98 B
2,14226,10 Petr Popelka (U),0,1,1,2009/2010,FBC Ressler boys,FBC Start98 B
3,14226,14 Michal Šik (U),0,1,1,2009/2010,FBC Ressler boys,FBC Start98 B
4,14226,15 Martin Sekerka (U),0,0,0,2009/2010,FBC Ressler boys,FBC Start98 B
5,14226,17 Lukáš Boček (U),0,0,0,2009/2010,FBC Ressler boys,FBC Start98 B
6,14226,68 Michal Rukavička (U),2,0,2,2009/2010,FBC Ressler boys,FBC Start98 B
7,14226,84 Jan Kučera (U),0,0,0,2009/2010,FBC Ressler boys,FBC Start98 B
8,14226,88 Václav Flek (U),0,0,0,2009/2010,FBC Ressler boys,FBC Start98 B
0,14224,2 Daniel Kubát (U),2,0,2,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
1,14224,3 Patrik Dvořák (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
2,14224,4 Martin Karásek (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
3,14224,10 Tomáš Schuch (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
4,14224,11 Jaroslav Krupička (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
5,14224,23 Jakub Michalik (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
6,14224,31 Aleš Erbek (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
7,14224,32 Jiří Novák (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
8,14224,37 Roman Bezouška (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
9,14224,77 Michal Kulhánek (U),0,1,1,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
10,14224,81 Jindřich Kratochvíl (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
11,14224,86 Lukáš Knížek (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
12,14224,88 Tomáš Klimt (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vlci Tatran Kostelec
0,15977,2 Radek Trojan (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
1,15977,3 Jaroslav Hotěk (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
2,15977,4 Jan Kněžínek (U),0,1,1,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
3,15977,5 Radek Tázler (U),0,1,1,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
4,15977,6 Jakub Podhorný (U),0,2,2,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
5,15977,19 Jan Sobota (U),4,0,4,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
6,15977,20 Aleš Trost (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
7,15977,21 Roman Šeiner (U),1,0,1,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
8,15977,22 Karel Sita (U),0,1,1,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
9,15977,23 Jiří Halásek (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
10,15977,24 Jan Tománek (U),0,0,0,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
11,15977,72 Michal Zítek (U),0,1,1,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
12,15977,98 Petr Brychta (U),1,0,1,2009/2010,FBC Ressler boys,FBC Vinořská Zvěř
0,15986,2 Marek Pucholt (U),0,0,0,2009/2010,FBC Ressler boys,Sokol Rudná
1,15986,3 Michal Kučera (U),0,0,0,2009/2010,FBC Ressler boys,Sokol Rudná
2,15986,4 Tomáš Novák (U),0,0,0,2009/2010,FBC Ressler boys,Sokol Rudná
3,15986,5 Ladislav Dvořák (U),0,0,0,2009/2010,FBC Ressler boys,Sokol Rudná
4,15986,7 Bohumil Kučera (U),0,0,0,2009/2010,FBC Ressler boys,Sokol Rudná
5,15986,9 Pavel Cihla (U),0,0,0,2009/2010,FBC Ressler boys,Sokol Rudná
6,15986,12 Lukáš Koťátko (U),0,1,1,2009/2010,FBC Ressler boys,Sokol Rudná
7,15986,14 David Kučera (U),0,0,0,2009/2010,FBC Ressler boys,Sokol Rudná
8,15986,15 Miroslav Kaplan (U),0,0,0,2009/2010,FBC Ressler boys,Sokol Rudná
9,15986,16 Jan Hruška (U),1,1,2,2009/2010,FBC Ressler boys,Sokol Rudná
