,Id,Period,Time,Type,Goal,Assist,Season
2,32999,2. část,01:25,-,21 Štěpán Trousil,8 Filip Weber,2010/2011
3,32999,2. část,03:34,-,21 Štěpán Trousil,77 Ctibor Chmelař,2010/2011
0,32921,1. část,05:25,-,3 Martin Elišák,21 Štěpán Trousil,2010/2011
1,32921,1. část,08:11,-,21 Štěpán Trousil,7 Miloš Zapadlo,2010/2011
2,32921,2. část,07:51,-,8 Filip Weber,,2010/2011
0,34411,1. část,02:45,-,22 Jakub Nováček,7 Miloš Zapadlo,2010/2011
1,34411,1. část,10:31,-,48 Roman Žampach,8 Filip Weber,2010/2011
2,34411,2. část,00:55,-,77 Ctibor Chmelař,48 Roman Žampach,2010/2011
3,34411,2. část,02:07,-,21 Štěpán Trousil,22 Jakub Nováček,2010/2011
4,34411,2. část,05:37,-,22 Jakub Nováček,4 Jakub Mádr,2010/2011
5,34411,3. část,01:11,-,21 Štěpán Trousil,48 Roman Žampach,2010/2011
0,35915,1. část,08:43,-,22 Jakub Nováček,4 Jakub Mádr,2010/2011
1,35915,1. část,11:21,-,78 Zdeněk Máčel,77 Ctibor Chmelař,2010/2011
2,35915,2. část,05:41,-,48 Roman Žampach,22 Jakub Nováček,2010/2011
3,35915,2. část,10:54,-,21 Štěpán Trousil,7 Miloš Zapadlo,2010/2011
4,35915,3. část,00:30,-,11 Václav Rides,77 Ctibor Chmelař,2010/2011
5,35915,3. část,02:03,-,5 Ladislav Tyll,48 Roman Žampach,2010/2011
0,38225,1. část,09:12,-,11 Václav Rides,12 Adam Bardún,2010/2011
1,38225,2. část,06:57,-,7 Miloš Zapadlo,3 Martin Elišák,2010/2011
2,38225,3. část,11:46,-,77 Ctibor Chmelař,4 Jakub Mádr,2010/2011
0,38223,1. část,06:10,-,3 Martin Elišák,7 Miloš Zapadlo,2010/2011
1,38223,1. část,08:55,-,4 Jakub Mádr,22 Jakub Nováček,2010/2011
2,38223,1. část,09:55,-,21 Štěpán Trousil,7 Miloš Zapadlo,2010/2011
3,38223,1. část,10:28,-,77 Ctibor Chmelař,11 Václav Rides,2010/2011
4,38223,3. část,01:53,-,7 Miloš Zapadlo,21 Štěpán Trousil,2010/2011
5,38223,3. část,08:17,SH,48 Roman Žampach,,2010/2011
6,38223,3. část,09:10,-,7 Miloš Zapadlo,49 Filip Trousil,2010/2011
7,38223,3. část,10:33,-,11 Václav Rides,3 Martin Elišák,2010/2011
8,38223,3. část,11:16,-,12 Adam Bardún,,2010/2011
0,28904,1. část,06:39,-,77 Ctibor Chmelař,7 Miloš Zapadlo,2010/2011
1,28904,1. část,09:41,SH,21 Štěpán Trousil,7 Miloš Zapadlo,2010/2011
2,28904,1. část,11:25,-,48 Roman Žampach,22 Jakub Nováček,2010/2011
3,28904,3. část,07:40,-,21 Štěpán Trousil,78 Zdeněk Máčel,2010/2011
4,28904,3. část,09:37,-,3 Martin Elišák,22 Jakub Nováček,2010/2011
0,29832,1. část,03:34,-,77 Ctibor Chmelař,11 Václav Rides,2010/2011
1,29832,1. část,06:30,-,7 Miloš Zapadlo,,2010/2011
2,29832,2. část,00:55,-,77 Ctibor Chmelař,12 Adam Bardún,2010/2011
3,29832,2. část,09:31,-,13 Lukáš Benda,48 Roman Žampach,2010/2011
4,29832,2. část,11:43,-,11 Václav Rides,77 Ctibor Chmelař,2010/2011
5,29832,3. část,01:58,-,7 Miloš Zapadlo,13 Lukáš Benda,2010/2011
6,29832,3. část,06:19,-,13 Lukáš Benda,7 Miloš Zapadlo,2010/2011
7,29832,3. část,09:52,-,77 Ctibor Chmelař,11 Václav Rides,2010/2011
0,40660,1. část,05:33,-,7 Miloš Zapadlo,49 Filip Trousil,2010/2011
1,40660,2. část,02:44,-,77 Ctibor Chmelař,11 Václav Rides,2010/2011
2,40660,3. část,11:54,-,7 Miloš Zapadlo,21 Štěpán Trousil,2010/2011
0,41547,1. část,06:37,PP,3 Martin Elišák,,2010/2011
1,41547,2. část,09:49,-,7 Miloš Zapadlo,3 Martin Elišák,2010/2011
