,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season
42,30521,FBC Ressler boys,Goalbusters Bystřice,3,6,Lose,sobota 02.10.2010; SH Bystřice,počet diváků: 0,začátek 10:20; konec ,Utkání: 3XM72010/2011-G012; 2. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kuška Petr, Vojtěch Ondřej",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","                 Player
2  12 Ivan Preisler (U)","                 Player
2  12 Ivan Preisler (U)",2010/2011
43,30518,FBC Ressler boys,FbK Olymp Praha B,2,5,Lose,sobota 02.10.2010; SH Bystřice,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72010/2011-G015; 2. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Suchý Roman, Přibil Daniel",delegát: ,"               Player
6  77 Filip Weber (U)","                Player
4  45 Martin Kašík (U)","                Player
4  45 Martin Kašík (U)",2010/2011
44,31231,FBC Ressler boys,FBC Uhříněves,7,2,Win,neděle 17.10.2010; ZŠ Jiráskova Benešov,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72010/2011-G024; 3. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Brejcha Jan, Černý Jan",delegát: ,"                 Player
3   7 Miloš Zapadlo (U)
9  48 Roman Žampach (U)","Empty DataFrame
Columns: [Player]
Index: []","                 Player
3   7 Miloš Zapadlo (U)
9  48 Roman Žampach (U)",2010/2011
45,31228,FBC Ressler boys,FBC Merkur Praha B,5,3,Win,neděle 17.10.2010; ZŠ Jiráskova Benešov,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72010/2011-G027; 3. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kropáček Jiří, Havlásek Lukáš",delegát: ,"                Player
5  11 Václav Rides (U)","                Player
2    10 Lukáš Bokr (U)
7  78 Václav Hrubý (U)","                Player
5  11 Václav Rides (U)",2010/2011
46,32999,FBC Ressler boys,FbC Panthers F,4,2,Win,sobota 06.11.2010; TJ Radlice,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72010/2011-G028; 4. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Veverka Aleš, Holek Martin",delegát: ,"                  Player
5  21 Štěpán Trousil (U)","Empty DataFrame
Columns: [Player]
Index: []","                  Player
5  21 Štěpán Trousil (U)",2010/2011
47,32921,FBC Ressler boys,SK Florbal Benešov C,3,7,Lose,sobota 06.11.2010; TJ Radlice,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72010/2011-G031; 4. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Veverka Aleš, Brejcha Jan",delegát: ,"                  Player
5  21 Štěpán Trousil (U)","             Player
1  14 Aleš Chod (U)","             Player
1  14 Aleš Chod (U)",2010/2011
48,34411,FBC Ressler boys,FBK Prokrastinators Praha,6,2,Win,neděle 21.11.2010; SH Zličín,počet diváků: 0,začátek 16:10; konec ,Utkání: 3XM72010/2011-G044; 5. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Blažek Martin, Pulec Vojtěch",delegát: ,"                 Player
7  22 Jakub Nováček (U)","                  Player
4  13 Robert Kučírka (U)","                 Player
7  22 Jakub Nováček (U)",2010/2011
49,35918,FBC Ressler boys,FBC Falcons Žižkov,0,6,Lose,sobota 18.12.2010; SH Stochov,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72010/2011-G046; 6. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Skazko Pavel, Provazník Tadeáš",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","                  Player
1  5 Vojtěch Skopový (U)","                  Player
1  5 Vojtěch Skopový (U)",2010/2011
50,35915,FBC Ressler boys,FBK Sokol Vlašim,6,2,Win,sobota 18.12.2010; SH Stochov,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72010/2011-G049; 6. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Skazko Pavel, Provazník Tadeáš",delegát: ,"                 Player
8  22 Jakub Nováček (U)
9  48 Roman Žampach (U)","Empty DataFrame
Columns: [Player]
Index: []","                 Player
8  22 Jakub Nováček (U)
9  48 Roman Žampach (U)",2010/2011
51,38225,FBC Ressler boys,FbK Olymp Praha B,3,6,Lose,sobota 22.01.2011; SH ZŠ Kunratice,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72010/2011-G055; 7. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Holek Martin, Vašíček Jiří",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","               Player
10  79 Jan Hruška (U)","               Player
10  79 Jan Hruška (U)",2010/2011
