,Id,Period,Time,Player,TM,Foul,Season
0,41547,1. část,04:56,5 Radek Vichta,2,904 vysoká hokejka,2010/2011
0,43569,2. část,02:30,96 Jiří Čala,2,907 nedovolené vrážení,2010/2011
1,43569,3. část,06:58,13 Robert Kučírka,2,925 nesportovní chování,2010/2011
2,43569,3. část,06:58,13 Robert Kučírka,10,925 nesportovní chování,2010/2011
0,46482,2. část,10:59,17 Filip Červený,2,901 sekání,2011/2012
1,46482,3. část,01:52,13 Jiří Zajdl,2,902 blokování hokejky,2011/2012
2,46482,3. část,07:45,10 Lukáš Malý,2,910 držení,2011/2012
0,48470,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2011/2012
0,48466,1. část,04:45,55 Tomáš Pícha,2,923 opakované přestupky,2011/2012
1,48466,2. část,06:01,25 Jan Kouba,2,901 sekání,2011/2012
2,48466,2. část,09:36,41 Jan Coufal,2,901 sekání,2011/2012
3,48466,3. část,01:25,68 Vladimír Suk,2,902 blokování hokejky,2011/2012
0,50281,2. část,11:12,27 Jaroslav Biskup,2,923 opakované přestupky,2011/2012
1,50281,3. část,03:38,32 Lukáš Vránek,2,901 sekání,2011/2012
2,50281,3. část,11:29,3 Petr Horák,2,925 nesportovní chování,2011/2012
0,50278,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2011/2012
0,52514,1. část,05:23,75 Robert Hochmuth,2,925 nesportovní chování,2011/2012
1,52514,1. část,11:21,96 Tomáš Pražák,2,903 nadzvedávání hokejky,2011/2012
0,52510,2. část,06:34,10 Jakub Horáček,2,908 vražení zády,2011/2012
1,52510,3. část,08:41,39 Jan Čapek,2,901 sekání,2011/2012
0,53206,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2011/2012
0,53208,2. část,10:30,24 Ladislav Stehlík,2,911 bránění ve hře,2011/2012
1,53208,3. část,04:31,26 Robin Franče,2,926 hra bez hokejky,2011/2012
0,55810,3. část,03:32,33 Jan Vrabec,2,907 nedovolené vrážení,2011/2012
0,56545,1. část,10:37,77 Václav Římal,2,914 hra v malém brankovišti,2011/2012
0,56541,3. část,02:29,25 Tomáš Vacek,2,923 opakované přestupky,2011/2012
0,58485,1. část,06:00,72 Jakub Skořepa,2,901 sekání,2011/2012
1,58485,3. část,05:19,4 Petr Ježek,2,926 hra bez hokejky,2011/2012
0,58483,1. část,03:34,8 Michal Majzner,2,901 sekání,2011/2012
1,58483,2. část,03:30,6 Ondřej Krejza,2,911 bránění ve hře,2011/2012
2,58483,2. část,11:07,6 Ondřej Krejza,2,901 sekání,2011/2012
3,58483,3. část,07:36,11 Michal Mikeš,2,922 špatné střídání,2011/2012
0,59987,1. část,01:17,15 Petr Kasal,2,904 vysoká hokejka,2011/2012
1,59987,2. část,05:29,94 Petr Chýle,2,907 nedovolené vrážení,2011/2012
2,59987,3. část,06:56,77 Martin Chýle,2,911 bránění ve hře,2011/2012
0,59990,1. část,02:37,55 Štěpán Herčík,2,901 sekání,2011/2012
1,59990,2. část,08:32,55 Štěpán Herčík,2,901 sekání,2011/2012
0,61490,1. část,06:50,24 Ladislav Stehlík,2,901 sekání,2011/2012
0,61483,2. část,07:14,76 Jaroslav Český,2,901 sekání,2011/2012
0,64575,3. část,11:03,57 Jakub Milion,2,904 vysoká hokejka,2012/2013
0,64573,3. část,03:27,8 Tomáš Jeřábek,2,920 hra rukou,2012/2013
0,66191,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2012/2013
0,66193,1. část,11:26,3 Tomáš Skácel,2,911 bránění ve hře,2012/2013
0,67676,1. část,06:27,5 Evžen Teringl,2,901 sekání,2012/2013
0,67674,3. část,09:41,14 David Palán,5,904 vysoká hokejka,2012/2013
0,69444,3. část,09:21,38 Michal Mošna,5,925 nesportovní chování,2012/2013
1,69444,3. část,09:21,38 Michal Mošna,,614 vyloučení do konce utkání 2,2012/2013
0,69442,3. část,08:05,55 Vladimír Pinc,2,901 sekání,2012/2013
1,69442,3. část,10:54,27 Dalibor Koman,2,909 hrubost,2012/2013
0,69398,3. část,02:50,7 Radek Hosnedl,2,923 opakované přestupky,2012/2013
0,69401,2. část,05:34,77 Roman Tauš,2,923 opakované přestupky,2012/2013
0,72096,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2012/2013
0,73820,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2012/2013
0,73818,1. část,07:03,12 Vojtěch Novák,2,901 sekání,2012/2013
1,73818,2. část,11:48,10 Josef Slavík,2,907 nedovolené vrážení,2012/2013
2,73818,3. část,03:31,89 Jakub Toušek,2,925 nesportovní chování,2012/2013
3,73818,3. část,09:40,66 Jan Turek,5,909 hrubost,2012/2013
0,76508,1. část,03:21,12 Tomáš Ekl,2,903 nadzvedávání hokejky,2012/2013
0,76505,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2012/2013
0,77841,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2012/2013
0,77839,1. část,11:16,15 Václav Melša,2,901 sekání,2012/2013
0,79499,1. část,05:22,69 Václav Skála,2,920 hra rukou,2012/2013
1,79499,3. část,11:48,77 Roman Tauš,2,907 nedovolené vrážení,2012/2013
0,79497,1. část,04:06,55 Radim Špejra,2,923 opakované přestupky,2012/2013
1,79497,1. část,08:01,82 Michal Stome,2,901 sekání,2012/2013
2,79497,1. část,08:49,29 Jiří Ondrák,2,902 blokování hokejky,2012/2013
3,79497,3. část,06:36,5 Luboš Jindřich,2,925 nesportovní chování,2012/2013
4,79497,3. část,08:21,69 Tomáš Prokop,2,925 nesportovní chování,2012/2013
5,79497,3. část,08:21,69 Tomáš Prokop,10,925 nesportovní chování,2012/2013
