,Id,Player,G,A,PTS,Season,Team_against,Team_for
1,301969,9 Tomáš Virba (O),1,0,1,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
2,301969,11 Petr Sukalovský (U),1,0,1,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
3,301969,12 Tomáš Štumf (U),0,0,0,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
4,301969,15 Jan Jiráň (O),0,0,0,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
5,301969,23 Martin Bosák (U),2,0,2,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
6,301969,28 Libor Hrach (U),0,0,0,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
7,301969,71 Josef Kostelecký (O),0,0,0,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
8,301969,91 Marek Pukl (U),0,1,1,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
9,301969,92 Jakub Vilim (U),0,1,1,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
10,301969,96 Rudolf Rubáš (U),0,0,0,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
11,301969,99 Petr Zahradník (U),0,2,2,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
0,301973,3 Aleš Martínek (O),0,0,0,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
1,301973,9 Viliam Virba (O),1,0,1,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
2,301973,11 Petr Sukalovský (U),0,0,0,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
3,301973,12 Tomáš Štumf (U),0,0,0,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
4,301973,15 Jan Jiráň (O),0,0,0,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
5,301973,23 Martin Bosák (U),1,0,1,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
6,301973,28 Libor Hrach (U),0,0,0,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
7,301973,71 Josef Kostelecký (O),0,1,1,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
8,301973,91 Marek Pukl (U),0,0,0,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
9,301973,92 Jakub Vilim (U),0,0,0,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
10,301973,96 Rudolf Rubáš (U),0,0,0,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
11,301973,99 Petr Zahradník (U),0,0,0,2021/2022,FBC YOUNG BOYS,FBC Mobydick Praha
