,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,64573,1,06:43,-, Martin Elišák, Miloš Zapadlo,2012/2013,6,43,403
1,64573,1,07:30,-, Ladislav Tyll, Jakub Nováček,2012/2013,7,30,450
2,64573,2,03:30,-, Jakub Nováček, Adam Jablonský,2012/2013,3,30,210
3,64573,3,06:20,PP, Jakub Nováček, Adam Jablonský,2012/2013,6,20,380
0,66191,1,09:41,-, Jakub Majerčin, Zdeněk Karásek,2012/2013,9,41,581
1,66191,2,03:12,SH, Filip Weber,,2012/2013,3,12,192
2,66191,2,09:34,-, Ctibor Chmelař,,2012/2013,9,34,574
3,66191,3,05:01,-, Adam Bardún, Ctibor Chmelař,2012/2013,5,1,301
4,66191,3,08:19,-, Miloš Zapadlo, Martin Elišák,2012/2013,8,19,499
5,66191,3,10:34,-, Adam Jablonský, Ladislav Tyll,2012/2013,10,34,634
6,66191,3,10:58,-, Jakub Majerčin, Martin Elišák,2012/2013,10,58,658
0,66193,2,03:19,-, Adam Jablonský, Filip Trousil,2012/2013,3,19,199
1,66193,2,07:19,-, Adam Jablonský, Filip Trousil,2012/2013,7,19,439
2,66193,3,06:39,-, Miloš Zapadlo, Jakub Nováček,2012/2013,6,39,399
0,67674,2,01:12,-, Miloš Zapadlo, Filip Trousil,2012/2013,1,12,72
1,67674,3,11:00,PP, Miloš Zapadlo, Zdeněk Karásek,2012/2013,11,0,660
0,69444,1,06:31,-, Roman Žampach, Adam Jablonský,2012/2013,6,31,391
1,69444,2,01:05,-, Miloš Zapadlo, Filip Trousil,2012/2013,1,5,65
2,69444,2,09:49,-, Miloš Zapadlo,,2012/2013,9,49,589
3,69444,3,02:49,-, Roman Žampach,,2012/2013,2,49,169
4,69444,3,07:38,-, Adam Jablonský, Jakub Majerčin,2012/2013,7,38,458
0,69442,1,11:35,-, Adam Jablonský, Roman Žampach,2012/2013,11,35,695
0,69398,1,05:46,SH, Roman Žampach, Adam Jablonský,2012/2013,5,46,346
1,69398,2,11:27,-, Ladislav Tyll, Adam Jablonský,2012/2013,11,27,687
2,69398,3,10:46,-, Adam Jablonský,,2012/2013,10,46,646
0,69401,1,09:28,-, Štěpán Trousil, Martin Elišák,2012/2013,9,28,568
1,69401,2,04:05,-, Jakub Majerčin, Adam Jablonský,2012/2013,4,5,245
2,69401,3,07:34,SH, Miloš Zapadlo, Adam Jablonský,2012/2013,7,34,454
0,72096,1,03:14,-, Jakub Majerčin,,2012/2013,3,14,194
