,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season,Date,Place,Weekday,ref1,ref2,League
27,18389,FBC Ressler boys,FT Sokol Břevnov B,2,2,Draw,neděle 22.11.2009; SH Králův Dvůr,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72009/2010-D034; 8. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Hák Martin, Kamarád Lukáš",delegát: ,                  Václav Rides,"Empty DataFrame
Columns: [Player]
Index: []",                  Václav Rides,2009/2010,22.11.2009, SH Králův Dvůr,neděle, Hák Martin, Kamarád Lukáš, PH+SČ soutěž mužů
28,19348,FBC Ressler boys,FbK TJ Sokol Žižkov II,2,5,Lose,neděle 06.12.2009; TJ Radlice,počet diváků: 0,začátek 16:10; konec ,Utkání: 3XM72009/2010-D048; 9. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Zima Marek, Müller Jiří",delegát: ,                    Jakub Nováček,                  Filip Bělský,                  Filip Bělský,2009/2010,06.12.2009, TJ Radlice,neděle, Zima Marek, Müller Jiří, PH+SČ soutěž mužů
29,19350,FBC Ressler boys,FK Spartak Praha B,6,3,Win,neděle 06.12.2009; TJ Radlice,počet diváků: 0,začátek 18:30; konec ,Utkání: 3XM72009/2010-D050; 10. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Varga Peter, Blaško Lukáš",delegát: ,                  Václav Rides,"Empty DataFrame
Columns: [Player]
Index: []",                  Václav Rides,2009/2010,06.12.2009, TJ Radlice,neděle, Varga Peter, Blaško Lukáš, PH+SČ soutěž mužů
30,21084,FBC Ressler boys,FBC Start98 B,0,4,Lose,neděle 10.01.2010; SH ZŠ Kunratice,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72009/2010-D059; 12. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Knap Jan, Kněžík Martin",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                Michal Šik,                Michal Šik,2009/2010,10.01.2010, SH ZŠ Kunratice,neděle, Knap Jan, Kněžík Martin, PH+SČ soutěž mužů
31,21821,FBC Ressler boys,FBC Vlci Tatran Kostelec,6,5,Win,neděle 24.01.2010; Sparta Praha II.,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72009/2010-D062; 13. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Plechata Jan, Cimrman Tomáš",delegát: ,                    Štěpán Trousil,                 Daniel Kubát,                       Daniel Kubát  Štěpán Trousil,2009/2010,24.01.2010, Sparta Praha II.,neděle, Plechata Jan, Cimrman Tomáš, PH+SČ soutěž mužů
32,21824,FBC Ressler boys,FBC Vinořská Zvěř,5,4,Win,neděle 24.01.2010; Sparta Praha II.,počet diváků: 0,začátek 12:40; konec ,Utkání: 3XM72009/2010-D065; 14. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Plechata Jan, Cimrman Tomáš",delegát: ,                  Miloš Zapadlo,                   Petr Brychta,                   Petr Brychta,2009/2010,24.01.2010, Sparta Praha II.,neděle, Plechata Jan, Cimrman Tomáš, PH+SČ soutěž mužů
33,23281,FBC Ressler boys,Sokol Rudná,2,6,Lose,neděle 14.02.2010; SH Zličín,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72009/2010-D079; 15. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Zima Marek, Černý Jan",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                     Miroslav Kaplan,                     Miroslav Kaplan,2009/2010,14.02.2010, SH Zličín,neděle, Zima Marek, Černý Jan, PH+SČ soutěž mužů
34,23278,FBC Ressler boys,FBC Žraloci Příbram,2,2,Draw,neděle 14.02.2010; SH Zličín,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72009/2010-D076; 16. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Keil Robert, Kozák Ondřej",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []",2009/2010,14.02.2010, SH Zličín,neděle, Keil Robert, Kozák Ondřej, PH+SČ soutěž mužů
35,24752,FBC Ressler boys,Pragsport,4,3,Win,sobota 06.03.2010; Lyceum Drtinova,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72009/2010-D082; 17. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Vašíček Jiří, Plechata Jan",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                  Zdeněk Novák,                  Zdeněk Novák,2009/2010,06.03.2010, Lyceum Drtinova,sobota, Vašíček Jiří, Plechata Jan, PH+SČ soutěž mužů
36,24754,FBC Ressler boys,FbŠ Bohemians BANG team D,2,8,Lose,sobota 06.03.2010; Lyceum Drtinova,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72009/2010-D084; 18. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Leibl Filip, Lässler Pavel",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                  Tomáš Grigar,                  Tomáš Grigar,2009/2010,06.03.2010, Lyceum Drtinova,sobota, Leibl Filip, Lässler Pavel, PH+SČ soutěž mužů
