,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,18389,3,08:10,-, Vojtěch Novák, Michal Pozler,2009/2010,8,10,490
1,18389,3,08:34,-, František Schirl, Josef Slavík,2009/2010,8,34,514
0,19348,1,03:29,-, Filip Bělský,,2009/2010,3,29,209
1,19348,2,00:25,-, Milan Votrubec, Filip Bělský,2009/2010,0,25,25
2,19348,2,06:30,-, Tomáš Dedek, Jan Zahálka,2009/2010,6,30,390
3,19348,2,10:42,-, Filip Bělský,,2009/2010,10,42,642
4,19348,2,11:27,PP, Filip Bělský,,2009/2010,11,27,687
0,19350,2,05:39,-, Ondřej Novotný, Matouš Novosad,2009/2010,5,39,339
1,19350,3,08:23,-, Lukáš Grygar,,2009/2010,8,23,503
2,19350,3,11:08,-, Jan Kořínek, Michal Tuma,2009/2010,11,8,668
0,21084,2,05:59,-, Jan Bambas, Petr Popelka,2009/2010,5,59,359
1,21084,2,08:39,-, Jan Kučera, Jan Zapadlo,2009/2010,8,39,519
2,21084,3,01:42,-, Michal Šik, Petr Popelka,2009/2010,1,42,102
3,21084,3,11:42,-, Michal Šik, Marek Mandler,2009/2010,11,42,702
0,21821,1,11:41,PP, Tomáš Klimt, Daniel Kubát,2009/2010,11,41,701
1,21821,2,04:28,-, Daniel Kubát, Jakub Michalik,2009/2010,4,28,268
2,21821,2,10:36,-, Tomáš Schuch, Jaroslav Krupička,2009/2010,10,36,636
3,21821,3,07:09,-, Tomáš Klimt, Roman Bezouška,2009/2010,7,9,429
4,21821,3,11:49,-, Daniel Kubát, Michal Kulhánek,2009/2010,11,49,709
0,21824,1,05:03,-, Petr Brychta, Karel Sita,2009/2010,5,3,303
1,21824,1,09:27,-, Petr Brychta,,2009/2010,9,27,567
2,21824,1,10:21,-, Jan Tománek, Karel Sita,2009/2010,10,21,621
3,21824,3,08:06,-, Petr Brychta, Karel Sita,2009/2010,8,6,486
0,23281,1,09:50,-, Miroslav Kaplan, Lukáš Koťátko,2009/2010,9,50,590
1,23281,2,04:02,-, Michal Kučera, Miroslav Kaplan,2009/2010,4,2,242
2,23281,2,09:45,-, Miroslav Kaplan, Jan Hruška,2009/2010,9,45,585
3,23281,2,10:43,-, Marek Mojžíš, Miroslav Kaplan,2009/2010,10,43,643
4,23281,2,11:20,-, Marek Pucholt, Martin Tuček,2009/2010,11,20,680
5,23281,3,09:55,-, Jan Hruška, Marek Pucholt,2009/2010,9,55,595
0,23278,1,04:19,-, Martin Král, Martin Czeczinkar,2009/2010,4,19,259
1,23278,2,02:27,-, Aleš Těhle, Ota Hauptmann,2009/2010,2,27,147
0,24752,1,00:43,-, Zdeněk Novák, Petr Borovec,2009/2010,0,43,43
1,24752,1,08:43,-, Zdeněk Novák, Jakub Žolčák,2009/2010,8,43,523
2,24752,3,09:16,-, Petr Borovec, Jakub Žolčák,2009/2010,9,16,556
0,24754,1,01:34,-, Patrik Čeliš, Tomáš Grigar,2009/2010,1,34,94
1,24754,2,07:33,-, Tomáš Grigar,,2009/2010,7,33,453
2,24754,3,00:51,-, Michal Černý, Tomáš Grigar,2009/2010,0,51,51
3,24754,3,03:08,PP, Jan Vážný, Tomáš Grigar,2009/2010,3,8,188
4,24754,3,05:58,-, Tomáš Grigar,,2009/2010,5,58,358
5,24754,3,09:19,-, Patrik Čeliš, Adam Podrázský,2009/2010,9,19,559
6,24754,3,10:10,-, Robert Sysala,,2009/2010,10,10,610
7,24754,3,11:37,-, Lukáš Fulín, Tomáš Grigar,2009/2010,11,37,697
0,25954,3,02:58,-, Lukáš Fietzek, Vojtěch Novák,2009/2010,2,58,178
0,25950,1,00:54,-, Filip Bělský, Jakub Pavel,2009/2010,0,54,54
1,25950,1,01:08,-, Jakub Pavel, Filip Bělský,2009/2010,1,8,68
2,25950,2,11:39,-, Filip Bělský,,2009/2010,11,39,699
3,25950,3,08:42,-, Pavel Kuchynka, Filip Bělský,2009/2010,8,42,522
0,27336,1,00:20,-, Tomáš Růta, Petr Janský,2009/2010,0,20,20
1,27336,1,02:03,OG, Ctibor Chmelař,,2009/2010,2,3,123
2,27336,1,05:01,-, Tomáš Růta, Lukáš Franz,2009/2010,5,1,301
3,27336,1,10:19,-, Jan Kořínek, Martin Staněk,2009/2010,10,19,619
4,27336,2,03:47,-, Jan Kořínek, Michal Koníček,2009/2010,3,47,227
5,27336,2,05:18,-, Lukáš Franz,,2009/2010,5,18,318
6,27336,2,06:48,-, Petr Janský, Jan Vitík,2009/2010,6,48,408
7,27336,2,07:56,-, Lukáš Pokorný, Michal Tuma,2009/2010,7,56,476
8,27336,3,11:34,PP, Tomáš Růta, Matouš Novosad,2009/2010,11,34,694
0,29252,1,06:30,-, Štěpán Pavelka, Libor Vilímec,2010/2011,6,30,390
1,29252,2,09:24,-, Štěpán Pavelka, Václav Skopový,2010/2011,9,24,564
2,29252,3,11:55,-, Libor Vilímec, Václav Skopový,2010/2011,11,55,715
0,29250,3,11:38,-, Jan Bašta,,2010/2011,11,38,698
1,29250,3,11:47,-, Jan Bašta,,2010/2011,11,47,707
0,30521,1,00:39,-, Ivan Preisler, Miroslav Špaček,2010/2011,0,39,39
1,30521,1,02:38,-, Jiří Žilinský, Ivan Preisler,2010/2011,2,38,158
2,30521,2,01:31,-, Ivan Preisler, Jaroslav Český,2010/2011,1,31,91
3,30521,2,03:04,-, Miroslav Špaček, Jan Urbanec,2010/2011,3,4,184
4,30521,2,04:54,-, Jaroslav Český, Jiří Žilinský,2010/2011,4,54,294
5,30521,3,00:37,-, Vít Vrtiška, Jan Klimus,2010/2011,0,37,37
0,30518,2,08:15,-, Martin Kašík,,2010/2011,8,15,495
1,30518,2,10:26,-, Jakub Kricner, Martin Kašík,2010/2011,10,26,626
2,30518,2,11:35,-, Jan Rychtařík, Jan Šik,2010/2011,11,35,695
3,30518,3,02:23,-, Martin Kašík, Jakub Kricner,2010/2011,2,23,143
4,30518,3,08:25,-, Jan Kadlec,,2010/2011,8,25,505
0,31231,2,02:25,-, Martin Matoška, Kateřina Holubová,2010/2011,2,25,145
1,31231,2,08:36,-, Petr Dupač, Jan Srb,2010/2011,8,36,516
0,31228,2,11:21,-, Stanislav Heřman, Lubomír Mrazík,2010/2011,11,21,681
1,31228,3,02:51,-, Lukáš Bokr, Václav Hrubý,2010/2011,2,51,171
2,31228,3,08:01,-, Václav Hrubý, Lukáš Bokr,2010/2011,8,1,481
0,32999,1,03:27,-, Karel Kovács,,2010/2011,3,27,207
1,32999,2,02:48,-, Lukáš Jenšík, Sebastian Sticzay,2010/2011,2,48,168
0,32921,1,04:45,-, Aleš Chod, Tomáš Pícha,2010/2011,4,45,285
1,32921,1,08:45,-, Adam Vyhnal,,2010/2011,8,45,525
2,32921,1,11:56,-, Aleš Chod, Matyáš Pokorný,2010/2011,11,56,716
3,32921,2,06:13,PP, Matyáš Pokorný, Tomáš Pícha,2010/2011,6,13,373
4,32921,2,09:32,-, Aleš Chod, Matyáš Pokorný,2010/2011,9,32,572
5,32921,2,11:33,-, Aleš Chod, Matyáš Pokorný,2010/2011,11,33,693
6,32921,3,09:40,-, Aleš Chod, Tomáš Pícha,2010/2011,9,40,580
0,34411,3,02:01,-, Tomáš Bízek, Robert Kučírka,2010/2011,2,1,121
1,34411,3,06:47,-, Robert Kučírka, Jiří Čala,2010/2011,6,47,407
0,35918,2,02:05,-, Zdeněk Burian, Vojtěch Hynek,2010/2011,2,5,125
1,35918,2,02:48,-, Vojtěch Skopový, Štěpán Pavelka,2010/2011,2,48,168
2,35918,2,05:32,-, Tomáš Kružík, Vojtěch Skopový,2010/2011,5,32,332
3,35918,2,10:16,-, Libor Vilímec, Tomáš Kružík,2010/2011,10,16,616
4,35918,3,02:46,PS, Vojtěch Skopový,,2010/2011,2,46,166
5,35918,3,07:25,-, Vojtěch Hynek, Petr Dvořák,2010/2011,7,25,445
0,35915,1,07:21,PP, Ondřej Pícha, Michal Kuklík,2010/2011,7,21,441
1,35915,2,07:53,-, Petr Zeman, Petr Nevšímal,2010/2011,7,53,473
0,38225,2,04:07,-, Jan Hruška, Jan Kadlec,2010/2011,4,7,247
1,38225,2,07:13,-, Petr Slezák,,2010/2011,7,13,433
