,Id,Period,Time,Player,TM,Foul,Season
1,91905,1. část,10:47, Martin Elišák,2,902 blokování hokejky,2013/2014
0,95459,2. část,09:14, Jakub Nováček,2,904 vysoká hokejka,2013/2014
1,95459,2. část,10:30, Ladislav Tyll,2,902 blokování hokejky,2013/2014
0,95507,1. část,08:02, Martin Elišák,2,922 špatné střídání,2013/2014
0,95526,1. část,09:00, Michal Rosí,2,901 sekání,2013/2014
1,95526,2. část,11:34, Zdeněk Karásek,2,923 opakované přestupky,2013/2014
2,95526,3. část,07:18, Zdeněk Karásek,2,915 nedovolená vzdálenost,2013/2014
0,98491,3. část,04:24, Štěpán Trousil,2,911 bránění ve hře,2013/2014
1,98491,3. část,08:59, Zdeněk Karásek,2,915 nedovolená vzdálenost,2013/2014
0,101363,3. část,06:55, Ctibor Chmelař,2,901 sekání,2013/2014
1,101363,3. část,09:07, Michal Rosí,2,925 nesportovní chování,2013/2014
2,101363,3. část,11:12, Karel Pernica,2,908 vražení zády,2013/2014
0,102043,1. část,03:55, Ctibor Chmelař,2,901 sekání,2013/2014
1,102043,1. část,09:10, Roman Žampach,2,901 sekání,2013/2014
2,102043,3. část,08:15, Ctibor Chmelař,2,908 vražení zády,2013/2014
0,102037,1. část,03:34, Karel Pernica,2,901 sekání,2013/2014
1,102037,2. část,04:27, Štěpán Trousil,2,901 sekání,2013/2014
2,102037,2. část,11:24, Ctibor Chmelař,2,901 sekání,2013/2014
3,102037,3. část,08:57, Roman Žampach,2,925 nesportovní chování,2013/2014
0,106305,2. část,09:09, Zdeněk Karásek,2,909 hrubost,2014/2015
1,106305,3. část,06:13, Zdeněk Karásek,2,901 sekání,2014/2015
0,107925,1. část,03:31, Zdeněk Karásek,2,911 bránění ve hře,2014/2015
1,107925,3. část,11:43, Filip Weber,2,901 sekání,2014/2015
0,109356,3. část,09:39, Zdeněk Karásek,2,901 sekání,2014/2015
0,109353,3. část,10:47, Zdeněk Karásek,2,901 sekání,2014/2015
0,111025,2. část,02:54, Ladislav Tyll,2,922 špatné střídání,2014/2015
0,111027,1. část,05:29, Ladislav Tyll,2,901 sekání,2014/2015
1,111027,3. část,03:12, Filip Weber,2,901 sekání,2014/2015
2,111027,3. část,11:38, Zdeněk Karásek,2,909 hrubost,2014/2015
3,111027,3. část,11:56, Roman Žampach,2,909 hrubost,2014/2015
0,113887,3. část,01:39, Zdeněk Karásek,2,908 vražení zády,2014/2015
0,113892,2. část,04:29, Ctibor Chmelař,2,904 vysoká hokejka,2014/2015
